故事100: 甜蜜告白_心动季节 - 词汇表

序号,词汇,中文释义,出现次数
1,"accelerate","加速",1
2,"accept","接受",1
3,"accompany","陪伴",1
4,"achieve","实现",1
5,"adjust","调整",1
6,"admit","承认",1
7,"affection","感情",1
8,"always","总是",1
9,"anxiety","焦虑",1
10,"appreciate","感激",1
11,"approach","接近",1
12,"attempt","尝试",1
13,"attitude","态度",1
14,"attract","吸引",1
15,"balance","平衡",1
16,"believe","相信",1
17,"beloved","挚爱的",1
18,"bless","祝福",1
19,"bond","纽带",1
20,"brave","勇敢的",1
21,"bright","明亮的",1
22,"build","建立",1
23,"challenge","挑战",1
24,"change","改变",1
25,"chemistry","化学反应",1
26,"cherish","珍视",3
27,"combine","结合",1
28,"communicate","交流",1
29,"compromise","妥协",1
30,"conclude","得出结论",1
31,"confident","自信的",1
32,"connection","联系",1
33,"consider","考虑",1
34,"contribute","贡献",1
35,"courage","勇气",1
36,"create","创造",1
37,"decide","决定",1
38,"dedicate","奉献",1
39,"deepen","加深",1
40,"delight","高兴",1
41,"desire","渴望",1
42,"destiny","命运",1
43,"determination","决心",1
44,"develop","发展",1
45,"difficulty","困难",1
46,"dream","梦想",1
47,"effort","努力",1
48,"embrace","拥抱",1
49,"emotion","情感",1
50,"encourage","鼓励",1
51,"enjoy","享受",1
52,"enrich","丰富",1
53,"entire","全部的",1
54,"eternity","永恒",1
55,"expect","期待",1
56,"experience","经历",1
57,"explore","探索",1
58,"express","表达",1
59,"extraordinary","非凡的",1
60,"face","面对",1
61,"faith","信念",1
62,"flourish","繁荣",1
63,"fulfill","实现",1
64,"future","未来",1
65,"gentle","温柔的",1
66,"grow","成长",1
67,"happiness","幸福",1
68,"harmony","和谐",1
69,"honest","诚实的",1
70,"hope","希望",1
71,"impress","打动",1
72,"improve","改善",1
73,"inspire","激励",1
74,"intimate","亲密的",1
75,"journey","旅程",1
76,"love","爱",1
77,"maintain","维持",1
78,"manage","设法",1
79,"meaningful","有意义的",1
80,"melody","旋律",1
81,"memory","记忆",1
82,"miracle","奇迹",1
83,"nervous","紧张的",1
84,"obvious","明显的",1
85,"offer","提供",1
86,"opportunity","机会",1
87,"ordinary","普通的",1
88,"passion","激情",1
89,"patient","耐心的",1
90,"peaceful","平静的",1
91,"perceive","感知",1
92,"perfect","完美的",1
93,"persist","坚持",1
94,"plan","计划",1
95,"poetry","诗意",1
96,"polish","润色",1
97,"practice","练习",1
98,"precious","珍贵的",1
99,"precise","精确的",1
100,"prepare","准备",1
101,"process","过程",1
102,"promise","承诺",1
103,"prospect","前景",1
104,"protect","保护",1
105,"proud","骄傲的",1
106,"prove","证明",1
107,"pure","纯洁的",1
108,"pursue","追求",1
109,"realize","意识到",1
110,"relationship","关系",1
111,"relaxed","放松的",1
112,"require","需求",1
113,"respect","尊重",1
114,"respond","回应",1
115,"romantic","浪漫的",1
116,"satisfy","满足",1
117,"secure","安全的",1
118,"seek","寻求",1
119,"select","选择",1
120,"share","分享",1
121,"shine","照耀",1
122,"sincere","真诚的",1
123,"special","特别的",1
124,"stable","稳定的",1
125,"steady","稳定的",1
126,"support","支持",1
127,"symbol","象征",1
128,"touch","触碰",1
129,"transform","转变",1
130,"treasure","珍视",1
131,"trust","信任",1
132,"understand","理解",1
133,"value","价值",1
134,"vivid","生动的",1
135,"warm","温暖",1
136,"witness","见证",1

统计信息
词汇总数,136个
总出现次数,138次
