故事13: 明争暗斗_升职之路 - 词汇表

序号,词汇,中文释义,出现次数
1,"ability","能力",1
2,"accumulate","积累",1
3,"achieve","成就",2
4,"active","积极",2
5,"affect","影响",1
6,"always","总是",2
7,"analysis","分析",1
8,"applaud","响起掌声",1
9,"appreciate","赞赏",2
10,"approval","认可",1
11,"arrive","到达",1
12,"avoid","避免",1
13,"benefit","效益",1
14,"brave","勇敢",1
15,"breakthrough","突破",1
16,"build","建立",1
17,"calm","冷静",1
18,"careful","仔细",1
19,"cohesive","团结",1
20,"compare","比较",1
21,"compete","竞争",1
22,"confidence","自信",1
23,"confident","自信",2
24,"conflict","冲突",1
25,"continue","继续",1
26,"cooperate","合作",1
27,"critical","关键",1
28,"cruelty","残酷",1
29,"detail","详细",1
30,"determine","决心",1
31,"devote","奉献",1
32,"eliminate","淘汰",2
33,"encourage","鼓励",1
34,"evaluate","评估",1
35,"excited","激动",1
36,"expand","拓展",1
37,"fail","失败",2
38,"feasible","可行",1
39,"finally","终于",1
40,"firmly","坚定地",1
41,"flawless","完美",1
42,"focus","专注",1
43,"fulfill","充实",1
44,"help","帮助",1
45,"hope","希望",1
46,"hostile","敌对",1
47,"humble","谦逊",1
48,"humbly","谦逊地",1
49,"improve","提升",1
50,"inspire","启发",2
51,"interrupt","打断",1
52,"invisible","无形",1
53,"invite","邀请",1
54,"learn","学习",1
55,"maintain","维持",1
56,"mark","标记",1
57,"meaningful","有意义",1
58,"measure","措施",1
59,"milestone","里程碑",1
60,"moment","时刻",1
61,"nervous","紧张",1
62,"never","从不",1
63,"optimistic","乐观",1
64,"organize","整理",1
65,"patient","耐心",1
66,"peak","顶峰",1
67,"perfectly","完美",1
68,"performance","业绩",1
69,"potential","潜力",1
70,"prepare","准备",1
71,"presentation","展示",1
72,"principle","原则",1
73,"professional","专业",1
74,"promise","承诺",1
75,"promote","促进",1
76,"prospect","前景",1
77,"proud","自豪",2
78,"rehearse","排练",1
79,"replace","取代",1
80,"reputation","声誉",1
81,"request","请求",1
82,"respect","尊重",1
83,"responsibility","责任",1
84,"risk","风险",1
85,"satisfaction","满足",1
86,"share","分享",1
87,"shocked","震惊",1
88,"silence","寂静",1
89,"slight","略微",1
90,"solemn","庄重",1
91,"spend","投入",1
92,"steady","平稳",1
93,"strength","实力",1
94,"succeed","成功",2
95,"success","成功",1
96,"successful","成功",1
97,"survive","生存",1
98,"tense","紧张",2
99,"thorough","彻底",1
100,"unexpected","意外",1
101,"voluntary","主动",1
102,"wisdom","智慧",2

统计信息
词汇总数,102个
总出现次数,114次
