故事18: 办公室恋情_禁忌之爱 - 词汇表

序号,词汇,中文释义,出现次数
1,"accelerate","加速",1
2,"active","积极",1
3,"adventure","冒险",1
4,"always","总是",2
5,"analyze","分析",1
6,"applaud","响起掌声",1
7,"approve","批准",1
8,"balance","平衡",1
9,"beat","跳动",1
10,"blame","责备",1
11,"blossom","萌芽",1
12,"brave","勇敢",2
13,"build","建立",1
14,"busy","忙碌",1
15,"career","职业",1
16,"conflict","矛盾",1
17,"confuse","困惑",1
18,"confused","困惑",1
19,"control","控制",1
20,"correct","纠正",1
21,"create","创造",1
22,"deep","深厚",1
23,"determine","决心",1
24,"devote","奉献",1
25,"difficult","困难",1
26,"dismiss","解雇",1
27,"encourage","鼓励",1
28,"finally","终于",1
29,"firmly","坚定地",1
30,"focus","专注",1
31,"fulfill","充实",1
32,"gentle","温柔",1
33,"happy","幸福",2
34,"hide","隐藏",1
35,"inspire","启发",1
36,"legend","传奇",1
37,"maintain","保持",1
38,"miracle","奇迹",1
39,"moved","感动",1
40,"nervous","紧张",1
41,"never","从不",1
42,"patient","耐心",1
43,"prepare","准备",1
44,"promise","承诺",1
45,"rationality","理智",1
46,"respect","尊重",1
47,"secret","秘密",1
48,"share","分享",1
49,"sincere","真诚",2
50,"solid","稳固",1
51,"special","特别",2
52,"spend","花费",1
53,"successful","成功",1
54,"support","支持",1
55,"surprised","惊讶",1
56,"taboo","禁忌",1
57,"together","在一起",1

统计信息
词汇总数,57个
总出现次数,62次
