故事22: 甜宠日常_霸道温柔 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极",1
2,"always","总是",2
3,"anniversary","纪念日",1
4,"applaud","响起掌声",1
5,"apron","围裙",1
6,"bag","包",1
7,"blessing","祝福",1
8,"breakfast","早餐",1
9,"bright","明亮",1
10,"build","建立",1
11,"candle","蜡烛",1
12,"care","用心",2
13,"careful","仔细的",2
14,"carefully","仔细地",1
15,"cherish","珍惜",1
16,"color","气色",1
17,"cook","烹饪",1
18,"create","创造",1
19,"deep","深厚",1
20,"delicious","美味的",1
21,"deliver","呈现",1
22,"dessert","甜点",1
23,"determine","决心",1
24,"determined","坚定",1
25,"devote","奉献",1
26,"disappear","消失",1
27,"dish","菜肴",1
28,"element","元素",1
29,"emotion","情感",1
30,"encourage","鼓励",1
31,"excellent","出色",1
32,"excited","兴奋",1
33,"finally","终于",1
34,"firmly","坚定地",1
35,"footprint","脚印",1
36,"frequent","频繁",1
37,"fresh","新鲜的",1
38,"fulfill","充实",1
39,"gentle","温柔",1
40,"gift","礼物",1
41,"goodnight","晚安",1
42,"happy","幸福",1
43,"inspire","启发",1
44,"key","钥匙",1
45,"leave","休假",1
46,"legend","传奇",1
47,"love","爱意",1
48,"massage","按摩",1
49,"moonlight","月光",1
50,"moved","感动",1
51,"neat","整洁的",1
52,"nervous","紧张",1
53,"never","从不",1
54,"patient","耐心",1
55,"perfect","完美",1
56,"philosophy","哲学",1
57,"plan","策划",1
58,"precious","珍贵",1
59,"prepare","准备",1
60,"princess","公主",1
61,"promise","承诺",2
62,"radiant","容光焕发",1
63,"regret","遗憾",1
64,"resort","度假村",1
65,"respect","尊重",1
66,"responsibility","责任",1
67,"romance","浪漫",1
68,"ruthless","无情的",1
69,"shocked","震惊",1
70,"silence","寂静",1
71,"sincere","真诚",2
72,"smile","笑容",1
73,"snack","零食",1
74,"spend","花费",1
75,"successful","成功",1
76,"sunrise","日出",1
77,"sunset","日落",1
78,"support","支持",1
79,"surprise","惊喜",2
80,"sweet","甜蜜",1
81,"tear","流泪",1
82,"thin","消瘦",1
83,"tired","疲惫",1
84,"touched","感动",1
85,"tycoon","巨头",1
86,"vacation","假期",1
87,"villa","别墅",1
88,"wait","等待",1
89,"warm","温馨",1
90,"wine","红酒",1
91,"worried","担忧",1

统计信息
词汇总数,91个
总出现次数,97次
