故事25: 闪婚之后_意外之爱 - 词汇表

序号,词汇,中文释义,出现次数
1,"accident","意外",1
2,"active","积极",1
3,"adventure","冒险",1
4,"allergic","过敏",1
5,"always","总是",1
6,"blossom","萌芽",1
7,"build","建立",1
8,"care","关心",1
9,"careful","仔细",1
10,"carefully","仔细地",1
11,"challenge","挑战",1
12,"close","靠近",1
13,"closet","衣柜",1
14,"complicate","复杂",1
15,"confused","困惑",1
16,"contract","契约",1
17,"control","控制",1
18,"corner","角落",1
19,"create","创造",1
20,"detail","细节",1
21,"determine","决心",1
22,"devote","奉献",1
23,"dizzy","头晕",1
24,"drive","开车",1
25,"elegant","优雅",1
26,"emergency","紧急",1
27,"emotion","情感",1
28,"encounter","相遇",1
29,"encourage","鼓励",1
30,"expect","期待",1
31,"festival","节日",1
32,"finally","终于",1
33,"financial","经济",1
34,"firmly","坚定地",1
35,"forever","永远",1
36,"gift","礼物",1
37,"grandmother","祖母",1
38,"greet","问候",1
39,"handsome","英俊",1
40,"happily","幸福地",1
41,"happy","开心",1
42,"heavy","大",1
43,"hope","希望",1
44,"impulse","冲动",1
45,"legend","传奇",2
46,"luxury","豪华",1
47,"maintain","保持",1
48,"marriage","婚姻",1
49,"medicine","药品",1
50,"meet","相遇",1
51,"miss","想念",1
52,"moved","感动",1
53,"nervous","紧张",3
54,"observe","观察",1
55,"organize","整理",1
56,"patient","耐心",1
57,"promise","承诺",1
58,"propose","求婚",1
59,"rationality","理智",1
60,"real","真实",1
61,"remind","提醒",1
62,"respect","尊重",1
63,"share","分享",1
64,"spacious","宽敞",1
65,"spend","花费",1
66,"star","星星",1
67,"strange","奇怪",1
68,"successful","成功",1
69,"sunlight","阳光",1
70,"support","支持",1
71,"surprised","惊讶",1
72,"sweet","甜蜜",1
73,"touched","感动",1
74,"try","尝试",1
75,"unconsciously","无意识地",1
76,"wealthy","富有",1
77,"worry","担忧",1

统计信息
词汇总数,77个
总出现次数,80次
