故事27: 独宠一人_唯一之爱 - 词汇表

序号,词汇,中文释义,出现次数
1,"accept","接受",1
2,"active","积极",1
3,"always","总是",2
4,"angry","愤怒",1
5,"applause","掌声",1
6,"arrange","安排",1
7,"beautiful","美丽",2
8,"blessing","祝福",1
9,"build","建立",2
10,"calm","冷静",1
11,"camera","镜头",1
12,"care","关心",1
13,"change","改变",1
14,"cherish","珍惜",1
15,"choose","选择",1
16,"clarify","澄清",1
17,"cold","冷淡",1
18,"confess","告白",1
19,"confident","自信",1
20,"create","创造",1
21,"declare","宣告",1
22,"deliberately","故意",1
23,"design","设计",1
24,"destroy","粉碎",1
25,"detail","细节",1
26,"determine","决心",2
27,"devote","奉献",1
28,"difficult","困难",1
29,"difficulty","困难",1
30,"elegant","精致",1
31,"emotion","情感",1
32,"encourage","鼓励",1
33,"eternal","永恒",1
34,"excited","激动",1
35,"false","虚假",1
36,"finally","终于",1
37,"firm","坚定",1
38,"firmly","坚定地",1
39,"forever","永远",1
40,"heart","心",1
41,"hesitate","犹豫",1
42,"hope","希望",1
43,"immediately","立即",1
44,"joy","喜悦",1
45,"legend","传奇",1
46,"love","爱意",1
47,"luxury","奢华",1
48,"meet","遇见",1
49,"memory","回忆",2
50,"moment","时刻",1
51,"moved","感动",2
52,"nervous","紧张",1
53,"never","从不",2
54,"night","夜晚",1
55,"oath","誓言",1
56,"open","打开",1
57,"passion","热烈",1
58,"patient","耐心",1
59,"perfect","完美",1
60,"personally","亲自",1
61,"powerful","有权势",1
62,"praise","称赞",1
63,"precious","珍贵",1
64,"prepare","准备",1
65,"president","总裁",1
66,"press","新闻",1
67,"process","过程",1
68,"promise","承诺",2
69,"protect","守护",1
70,"quiet","安静",1
71,"recall","回忆",1
72,"respect","尊重",1
73,"romantic","浪漫",1
74,"rumor","流言",1
75,"scenery","风景",1
76,"shadow","身影",1
77,"share","分享",1
78,"simple","简单",1
79,"sincerity","真诚",1
80,"special","特别",1
81,"statement","言论",1
82,"status","地位",1
83,"successful","成功",1
84,"support","支持",1
85,"swear","发誓",1
86,"take","带",1
87,"tears","泪水",1
88,"tell","告诉",1
89,"think","思考",1
90,"touch","感动",1
91,"travel","旅行",1
92,"understand","明白",1
93,"unique","唯一",1
94,"voice","声音",1
95,"watch","注视",1
96,"wedding","婚礼",1

统计信息
词汇总数,96个
总出现次数,104次
