故事2: 豪门契约_总裁的替身新娘_总裁的试探 - 词汇表

序号,词汇,中文释义,出现次数
1,"accurate","准确的",1
2,"acknowledge","承认",1
3,"adjust","调整",1
4,"aggressive","激进的",1
5,"allocate","分配",1
6,"analyze","分析",1
7,"annual","年度的",2
8,"answer","回答",1
9,"appreciate","欣赏",1
10,"approve","认可",1
11,"arrive","到达",1
12,"assign","指派",1
13,"atmosphere","气氛",2
14,"attention","关注",1
15,"basis","依据",1
16,"begin","开始",1
17,"benefit","有益于",1
18,"budget","预算",1
19,"calm","冷静",1
20,"capture","夺取",1
21,"categorize","分类",1
22,"challenge","挑战",2
23,"clarify","澄清",1
24,"complete","完整的",1
25,"comprehensive","综合的",2
26,"condition","条件",1
27,"confidence","信心",1
28,"consult","咨询",1
29,"consumer","消费者",2
30,"content","内容",1
31,"contribute","贡献",1
32,"control","控制",1
33,"convince","说服",2
34,"cover","覆盖",1
35,"create","制造",1
36,"crucial","至关重要的",1
37,"describe","描述",1
38,"detail","细节",1
39,"devote","奉献",1
40,"display","显示",1
41,"effective","有效的",1
42,"efficiency","效率",1
43,"effort","努力",1
44,"elegant","优雅",1
45,"emphasize","强调",1
46,"employ","使用",1
47,"exceed","超出",2
48,"excellent","优秀的",1
49,"exchange","交换",1
50,"execute","执行",1
51,"executive","执行官",1
52,"expand","扩张",1
53,"expert","专家",1
54,"explain","解释",1
55,"extraordinary","非凡的",1
56,"favorable","有利的",1
57,"feasible","可行的",1
58,"feedback","反馈",1
59,"financial","财政的",1
60,"forecast","预测",1
61,"furnish","布置",1
62,"growth","增长",1
63,"identify","确定",1
64,"ignore","忽略",1
65,"implement","实施",1
66,"impress","印象深刻",1
67,"increase","增加",1
68,"insightful","有洞察力的",1
69,"interrupt","打断",1
70,"interview","采访",1
71,"investigate","调查",1
72,"issue","问题",1
73,"jealousy","嫉妒",1
74,"journey","旅程",1
75,"know","了解",1
76,"lead","领导",1
77,"leather","皮革",1
78,"leave","离开",1
79,"logical","逻辑的",1
80,"magnificent","宏伟的",1
81,"manage","管理",1
82,"manifest","表现",1
83,"mature","成熟",1
84,"monitor","监控",1
85,"nervous","紧张",1
86,"nod","点头",1
87,"obstacle","障碍",1
88,"opinion","观点",1
89,"opportunity","机会",2
90,"organize","组织",1
91,"outline","大纲",2
92,"penetrate","穿透",1
93,"perceive","感知",1
94,"performance","表现",1
95,"persist","坚持",1
96,"plan","计划",1
97,"potential","潜力",1
98,"praise","赞扬",1
99,"predict","预测",1
100,"pressure","压力",1
101,"private","私人的",1
102,"process","处理",1
103,"projection","预测",1
104,"reasonable","合理的",1
105,"reliable","可靠的",1
106,"report","报告",2
107,"respect","尊重",1
108,"response","反应",1
109,"responsibility","责任",1
110,"revenue","收入",1
111,"rise","上升",1
112,"rumor","谣言",1
113,"schedule","时间表",1
114,"screen","屏幕",1
115,"sensitive","敏感的",1
116,"silence","寂静",1
117,"similar","相似的",1
118,"smile","微笑",1
119,"solid","坚实的",1
120,"steady","稳定的",1
121,"strategy","策略",1
122,"submit","提交",1
123,"summarize","总结",1
124,"summit","峰会",1
125,"surprise","惊讶",2
126,"surround","包围",1
127,"systematic","系统的",1
128,"test","考验",1
129,"thorough","彻底的",2
130,"trend","趋势",1
131,"trust","信任",1
132,"variable","变量",1
133,"work","工作",1

统计信息
词汇总数,133个
总出现次数,145次
