故事30: 婚后才爱_先婚后恋 - 词汇表

序号,词汇,中文释义,出现次数
1,"accident","意外",1
2,"action","举动",1
3,"active","积极",1
4,"afternoon","下午",1
5,"agreement","协议",1
6,"always","总是",1
7,"beat","跳动",1
8,"blossom","萌芽",1
9,"build","建立",1
10,"businessman","商人",1
11,"care","关心",1
12,"careful","仔细",1
13,"challenge","挑战",1
14,"chat","聊天",1
15,"close","靠近",1
16,"communicate","交流",1
17,"confuse","困惑",1
18,"confused","困惑",1
19,"create","创造",1
20,"danger","危险",1
21,"deep","深厚",1
22,"determine","决心",1
23,"devote","奉献",1
24,"different","不同",1
25,"dinner","晚餐",1
26,"dream","梦想",1
27,"encourage","鼓励",1
28,"familiar","熟悉",1
29,"finally","终于",1
30,"firmly","坚定地",1
31,"gentle","温柔",1
32,"give","给",1
33,"greet","问候",1
34,"grow","成长",1
35,"happily","幸福地",1
36,"happy","开心",1
37,"hope","希望",1
38,"improve","改善",1
39,"indifferent","冷淡",1
40,"legend","传奇",1
41,"maintain","保持",1
42,"marriage","婚姻",1
43,"moment","时刻",1
44,"moved","感动",1
45,"nervous","紧张",1
46,"observe","观察",1
47,"opportunity","机会",1
48,"organize","整理",1
49,"patience","耐心",1
50,"patient","耐心",1
51,"personally","亲自",1
52,"polite","礼貌",1
53,"problem","问题",1
54,"process","过程",1
55,"promise","承诺",1
56,"rainy","下雨",1
57,"remind","提醒",1
58,"respect","尊重",1
59,"safe","安全",1
60,"scenery","风景",1
61,"serious","认真",1
62,"share","分享",1
63,"sick","生病",1
64,"silent","沉默",1
65,"spacious","宽敞",1
66,"special","特别",1
67,"spend","花费",1
68,"successful","成功",1
69,"support","支持",1
70,"surprised","惊讶",1
71,"sweet","甜蜜",1
72,"thought","想法",1
73,"touched","感动",1
74,"try","尝试",2
75,"watch","注视",2

统计信息
词汇总数,75个
总出现次数,77次
