故事31: 凤凰涅槃_重生之女 - 词汇表

序号,词汇,中文释义,出现次数
1,"ability","能力",1
2,"acquaintance","熟人",1
3,"agreement","协议",1
4,"ally","结盟",1
5,"ambitious","有野心",1
6,"announce","宣布",1
7,"annual","年度",1
8,"appearance","出现",1
9,"approach","接近",1
10,"ash","灰烬",1
11,"attention","注意",1
12,"ballroom","舞厅",1
13,"barely","几乎不",1
14,"beautiful","美丽",1
15,"beginning","开始",1
16,"betray","背叛",1
17,"brave","勇敢",1
18,"breakfast","早餐",1
19,"breathe","呼吸",1
20,"burning","燃烧",1
21,"businessman","商人",1
22,"calm","平静",2
23,"capital","资金",1
24,"carefully","小心",1
25,"carpet","地毯",1
26,"charity","慈善",1
27,"clench","紧握",1
28,"clever","聪明",1
29,"cold","冰冷",1
30,"coldly","冷冷",1
31,"complex","复杂",1
32,"concern","关心",1
33,"consecutive","连续",1
34,"countless","无数",1
35,"courageous","有勇气",1
36,"crime","犯罪",1
37,"crowd","人群",1
38,"curtain","窗帘",1
39,"danger","危险",1
40,"daughter","女儿",1
41,"deceive","欺骗",1
42,"decide","决定",1
43,"difficulty","困难",1
44,"direct","直接",1
45,"disguise","伪装",1
46,"disgust","厌恶",1
47,"district","区域",1
48,"elegantly","优雅",2
49,"embezzle","挪用",1
50,"encounter","遭遇",1
51,"enter","进入",1
52,"environment","环境",1
53,"establish","建立",1
54,"eventually","最终",1
55,"evidence","证据",1
56,"evil","邪恶",1
57,"execute","执行",1
58,"expel","驱逐",1
59,"experience","经历",1
60,"expose","揭露",1
61,"expression","表情",1
62,"face","脸",1
63,"fact","事实",1
64,"faith","信念",1
65,"fake","假意",1
66,"figure","身影",1
67,"financial","金融",1
68,"firm","坚定",1
69,"fist","拳头",1
70,"flame","火焰",1
71,"flood","洪水",1
72,"fly","飞翔",1
73,"fund","资金",1
74,"genius","天才",1
75,"glory","荣耀",1
76,"gown","礼服",1
77,"gradually","逐渐",1
78,"graduate","毕业",1
79,"handsome","英俊",1
80,"hypocritical","虚伪",1
81,"impress","印象深刻",1
82,"influence","影响力",1
83,"inherit","继承",1
84,"injustice","不公",1
85,"innocent","天真",2
86,"introduce","介绍",1
87,"investment","投资",1
88,"investor","投资者",1
89,"kind","善良",1
90,"leave","离开",1
91,"legend","传奇",2
92,"lonely","孤独",1
93,"luxurious","奢华",1
94,"manner","态度",1
95,"mask","伪装",1
96,"master","主人",1
97,"material","材料",1
98,"memory","记忆",1
99,"mention","提及",1
100,"midnight","午夜",1
101,"mirror","镜子",1
102,"modest","朴素",1
103,"moonlight","月光",1
104,"network","人脉",1
105,"nightmare","噩梦",1
106,"noble","高贵",1
107,"nod","点头",1
108,"notice","注意",1
109,"opportunity","机会",1
110,"painful","痛苦",1
111,"pale","苍白",1
112,"passion","热情",1
113,"plan","计划",1
114,"present","呈现",1
115,"profit","谋利",1
116,"project","项目",1
117,"proof","证明",1
118,"proud","自豪",1
119,"prove","证明",1
120,"provide","提供",1
121,"purchase","购物",1
122,"purple","紫色",1
123,"rebirth","重生",1
124,"recall","回忆",1
125,"relief","释然",1
126,"resource","资源",1
127,"secret","秘密",1
128,"secretly","暗中",1
129,"seek","寻求",1
130,"shareholder","股东",1
131,"shock","震惊",1
132,"silk","丝绸",1
133,"simple","单纯",1
134,"sky","天空",1
135,"smart","聪明",1
136,"smile","微笑",1
137,"solid","确凿",1
138,"stepmother","继母",1
139,"stormy","暴风雨",1
140,"strong","坚强",1
141,"successful","成功",1
142,"suffer","遭受",1
143,"surprise","惊讶",1
144,"sweat","汗水",1
145,"systematically","系统",1
146,"tragic","悲惨",1
147,"true","真实",1
148,"trust","信任",2
149,"trusted","信任",1
150,"unfair","不公平",1
151,"unique","唯一",1
152,"vision","眼光",1
153,"vow","发誓",1
154,"weak","软弱",1
155,"wealth","财富",1
156,"wealthy","富裕",1
157,"weapon","武器",1
158,"wear","穿着",1
159,"whisper","低语",1
160,"wisdom","智慧",2
161,"woman","女性",1
162,"young","年轻",1

统计信息
词汇总数,162个
总出现次数,168次
