故事32: 宠妻成瘾_甜蜜日常 - 词汇表

序号,词汇,中文释义,出现次数
1,"accident","意外",1
2,"action","行动",1
3,"anniversary","纪念日",2
4,"apply","申请",1
5,"arrange","安排",1
6,"atmosphere","氛围",1
7,"baby","婴儿",1
8,"background","背景",1
9,"beach","海滩",2
10,"beautiful","美丽",1
11,"bedroom","卧室",1
12,"bread","面包",1
13,"breakdown","抛锚",1
14,"busy","忙碌",1
15,"cafe","咖啡馆",1
16,"candle","蜡烛",1
17,"candlelight","烛光",1
18,"care","关心",1
19,"champagne","香槟",1
20,"cherish","珍惜",1
21,"child","孩子",1
22,"cold","冷漠",4
23,"company","陪伴",1
24,"considerate","体贴",1
25,"consult","请教",1
26,"cover","覆盖",1
27,"decisive","果断",1
28,"delicious","美味",1
29,"deliver","送",1
30,"demand","要求",1
31,"design","设计",1
32,"designer","设计师",1
33,"diamond","钻石",1
34,"dining","餐桌",1
35,"dish","菜肴",1
36,"distant","疏远",1
37,"disturb","打扰",1
38,"early","清晨",1
39,"effort","精力",1
40,"egg","鸡蛋",1
41,"enjoy","享受",1
42,"envy","羡慕",1
43,"excited","激动",1
44,"explore","探索",1
45,"express","表达",1
46,"family","家庭",1
47,"finish","结束",1
48,"firmly","坚定",1
49,"first","第一个",1
50,"fortune","幸运",1
51,"gentle","温柔",3
52,"gratitude","感激",1
53,"guilty","内疚",1
54,"habit","习惯",1
55,"happiness","幸福",1
56,"happy","幸福",1
57,"hotel","酒店",1
58,"invest","投入",1
59,"kind","善良",1
60,"kindness","善意",1
61,"kitchen","厨房",1
62,"lazily","懒懒",1
63,"light","光线",1
64,"lonely","孤独",2
65,"love","爱意",2
66,"lovely","可爱",1
67,"luck","幸运",1
68,"lunch","午餐",1
69,"luxury","豪华",1
70,"marriage","婚姻",1
71,"massage","按摩",1
72,"memory","回忆",1
73,"messy","凌乱",1
74,"milk","牛奶",1
75,"moment","时刻",1
76,"movie","电影",1
77,"necklace","项链",1
78,"ordinary","普通",1
79,"pajamas","睡衣",1
80,"patience","耐心",1
81,"perfect","完美",1
82,"plan","计划",1
83,"playful","顽皮",1
84,"precious","珍贵",1
85,"prepare","准备",1
86,"president","总裁",1
87,"pressure","压力",1
88,"princess","公主",1
89,"protect","保护",1
90,"quiet","宁静",1
91,"ready","准备好",1
92,"refrigerator","冰箱",1
93,"relax","放松",1
94,"respect","尊重",1
95,"responsibility","责任",1
96,"restaurant","餐厅",1
97,"romantic","浪漫",1
98,"rose","玫瑰",1
99,"ruthless","冷酷",1
100,"seabreeze","海风",1
101,"secret","秘密",1
102,"shake","摇头",1
103,"shore","岸边",1
104,"sincere","真诚",3
105,"sleepy","困倦",1
106,"slowly","慢慢",1
107,"special","特别",1
108,"spoil","宠坏",1
109,"spread","传播",1
110,"status","地位",1
111,"strict","严格",1
112,"studio","工作室",1
113,"successor","继承者",1
114,"suitcase","行李箱",1
115,"sunlight","阳光",1
116,"sunrise","日出",1
117,"sunset","日落",1
118,"surprise","惊喜",1
119,"sweet","甜蜜",1
120,"tenderly","温柔",1
121,"thin","消瘦",1
122,"tire","疲惫",1
123,"touch","触动",2
124,"tow","拖车",1
125,"travel","旅行",1
126,"vacation","度假",3
127,"voice","声音",1
128,"warm","温暖",3
129,"wave","海浪",1
130,"wealthy","富裕",2

统计信息
词汇总数,130个
总出现次数,147次
