故事33: 初入职场_菜鸟逆袭 - 词汇表

序号,词汇,中文释义,出现次数
1,"accept","接受",1
2,"accumulation","积累",1
3,"achieve","成就",1
4,"action","行动",1
5,"adapt","适应",2
6,"advice","建议",1
7,"answer","回答",1
8,"approve","认可",1
9,"area","领域",1
10,"arrange","安排",1
11,"arrive","到达",1
12,"assist","协助",1
13,"attitude","态度",3
14,"busy","忙碌",1
15,"challenge","挑战",3
16,"change","改变",1
17,"check","检查",1
18,"choose","选择",1
19,"client","客户",1
20,"coffee","咖啡",1
21,"coldly","冷淡",1
22,"communicate","沟通",1
23,"complain","抱怨",1
24,"complete","完成",1
25,"confident","自信",2
26,"confirm","确认",1
27,"consult","请教",1
28,"content","内容",1
29,"cooperate","合作",1
30,"data","数据",1
31,"desk","办公桌",1
32,"detail","细节",1
33,"difficulty","困难",2
34,"direct","直属",1
35,"document","文件",1
36,"doubt","质疑",1
37,"dream","梦想",1
38,"efficient","高效",1
39,"effort","努力",1
40,"equipment","设备",1
41,"evaluation","考核",1
42,"excite","激动",1
43,"expect","期待",1
44,"experience","经验",2
45,"explain","解释",1
46,"fair","公正",1
47,"familiar","熟悉",1
48,"fear","害怕",1
49,"folder","文件夹",1
50,"friendly","友好",1
51,"frustrate","沮丧",1
52,"gladly","欣然",1
53,"graduate","毕业",1
54,"greet","打招呼",1
55,"guide","引导",2
56,"handle","处理",2
57,"hardworking","勤奋",1
58,"honest","诚实",1
59,"hope","希望",1
60,"humble","谦虚",1
61,"important","重要",1
62,"impress","印象深刻",1
63,"international","国际",1
64,"invite","邀请",2
65,"job","工作",1
66,"key","核心",1
67,"keyboard","键盘",1
68,"knowledge","知识",1
69,"language","语言",1
70,"lead","带领",1
71,"leader","领导者",1
72,"leading","领先",1
73,"marketing","市场",1
74,"material","材料",1
75,"meeting","会议",1
76,"mix","交织",1
77,"model","榜样",1
78,"Monday","周一",1
79,"negative","消极",1
80,"nervous","紧张",1
81,"nod","点头",1
82,"note","笔记",1
83,"office","办公室",1
84,"opportunity","机会",1
85,"organize","组织",2
86,"participate","参与",1
87,"perfect","完美",1
88,"perform","表现",1
89,"performance","表现",1
90,"persist","坚持",1
91,"phone","电话",1
92,"position","位置",1
93,"positive","积极",1
94,"praise","表扬",1
95,"prepare","准备",1
96,"preview","预习",1
97,"problem","问题",1
98,"professional","专业",3
99,"project","项目",1
100,"promote","晋升",1
101,"proud","自豪",2
102,"prove","证明",1
103,"quality","质量",1
104,"question","问题",1
105,"quickly","迅速",1
106,"realize","意识到",1
107,"recognize","认可",1
108,"represent","代表",1
109,"review","复习",1
110,"rhythm","节奏",1
111,"ring","铃声",1
112,"rookie","新人",1
113,"satisfy","满意",1
114,"schedule","时间表",1
115,"senior","资深",2
116,"session","环节",1
117,"share","分享",2
118,"short","短",1
119,"skill","技能",1
120,"specialist","专员",1
121,"start","开始",1
122,"strict","严格",1
123,"suggestion","建议",1
124,"supervisor","主管",1
125,"system","系统",1
126,"task","任务",1
127,"treasure","宝藏",1
128,"trust","信任",1
129,"university","大学",1
130,"valuable","宝贵",1
131,"value","重视",1
132,"warm","热情",1

统计信息
词汇总数,132个
总出现次数,149次
