故事34: 青春恋曲_校园情缘 - 词汇表

序号,词汇,中文释义,出现次数
1,"approach","接近",2
2,"art","艺术",1
3,"attention","关注",1
4,"author","作家",1
5,"bachelor","学士",1
6,"beautiful","美丽",1
7,"bench","长椅",1
8,"blush","泛红",1
9,"book","书籍",1
10,"campus","校园",1
11,"cherry","樱花",1
12,"color","颜色",1
13,"couple","情侣",1
14,"courage","勇气",2
15,"culture","文化",1
16,"dedicate","献给",1
17,"describe","描写",1
18,"discuss","讨论",1
19,"draw","画画",1
20,"dream","梦想",1
21,"dress","连衣裙",1
22,"encourage","鼓励",1
23,"excellent","优秀",1
24,"exhibition","展览",2
25,"expect","期待",1
26,"express","表达",1
27,"festival","节日",1
28,"fiction","小说",1
29,"figure","身影",1
30,"first","一等",1
31,"gallery","画廊",1
32,"gap","缝隙",1
33,"gentle","温柔",2
34,"girl","女孩",1
35,"girlfriend","女朋友",1
36,"growth","成长",1
37,"happily","高兴",1
38,"happy","开心",1
39,"hire","聘用",1
40,"interest","兴趣",1
41,"laughter","笑声",1
42,"legend","传说",1
43,"library","图书馆",1
44,"literature","文学",2
45,"major","专业",1
46,"memory","回忆",1
47,"moment","时刻",1
48,"moon","月亮",1
49,"mountain","山",1
50,"nervous","紧张",1
51,"novel","小说",1
52,"offer","录用",1
53,"painter","画家",1
54,"pair","一对",1
55,"personality","性格",1
56,"photo","照片",1
57,"playground","操场",1
58,"poem","诗歌",1
59,"portrait","肖像",1
60,"professional","专业",1
61,"proud","骄傲",1
62,"quiet","安静",1
63,"read","阅读",1
64,"rehearse","排练",1
65,"romantic","浪漫",1
66,"same","同样",1
67,"scene","景色",1
68,"secret","暗恋",1
69,"shelf","书架",1
70,"shy","害羞",2
71,"sketch","素描",1
72,"sketchbook","速写本",1
73,"smile","笑容",1
74,"speak","开口",1
75,"speech","发言",1
76,"spring","春天",1
77,"star","星星",1
78,"story","故事",1
79,"student","学生",1
80,"summer","夏天",1
81,"sunlight","阳光",1
82,"sunrise","日出",1
83,"sunset","日落",1
84,"support","支持",1
85,"surprise","惊讶",1
86,"sweet","甜蜜",1
87,"talent","才华",1
88,"topic","话题",1
89,"view","视野",1
90,"voice","声音",1
91,"warm","温暖",1
92,"write","写作",1
93,"young","青年",1

统计信息
词汇总数,93个
总出现次数,99次
