故事35: 契约之恋_先婚后爱 - 词汇表

序号,词汇,中文释义,出现次数
1,"argue","争论",1
2,"arrange","安排",1
3,"arrive","到来",1
4,"attention","注意",1
5,"balance","平衡",1
6,"beautiful","美丽",1
7,"business","交易",1
8,"businessman","商人",1
9,"calm","平静",1
10,"change","改变",1
11,"classic","古典",1
12,"cold","冷漠",3
13,"complex","复杂",1
14,"considerate","体贴",1
15,"contract","契约",1
16,"danger","危险",1
17,"difficult","困难",1
18,"discuss","讨论",1
19,"elegant","优雅",2
20,"emotion","情绪",3
21,"envy","羡慕",1
22,"examine","检查",1
23,"expect","期待",2
24,"express","表达",1
25,"financial","财务",1
26,"flower","花",1
27,"future","未来",1
28,"gentle","温柔",2
29,"gift","礼物",1
30,"goal","目标",1
31,"greet","打招呼",1
32,"guest","客人",1
33,"guilty","内疚",1
34,"handsome","英俊",1
35,"hesitate","犹豫",1
36,"hurt","刺痛",1
37,"inform","通知",1
38,"introduce","介绍",1
39,"judge","评判",1
40,"kind","善良",1
41,"land","土地",1
42,"lawyer","律师",1
43,"legend","传奇",1
44,"limit","限制",1
45,"lonely","孤独",1
46,"love","爱",1
47,"lovely","可爱",1
48,"luxury","豪华",1
49,"marriage","婚姻",1
50,"mature","成熟",1
51,"midnight","午夜",1
52,"model","典范",2
53,"move","感动",1
54,"nod","点头",1
55,"nutrition","营养",2
56,"observe","观察",1
57,"ordinary","普通",1
58,"party","派对",1
59,"pen","笔",1
60,"perfect","完美",1
61,"piano","钢琴",1
62,"plan","计划",1
63,"porridge","粥",1
64,"praise","赞美",2
65,"pressure","压力",1
66,"professional","专业",1
67,"quietly","轻声",1
68,"require","要求",1
69,"resource","资源",1
70,"responsibility","责任",1
71,"role","角色",1
72,"rule","规则",1
73,"sacrifice","牺牲",1
74,"serious","严肃",1
75,"servant","仆人",1
76,"shy","羞涩",1
77,"sign","签名",1
78,"snack","宵夜",1
79,"sofa","沙发",1
80,"soft","软化",1
81,"start","开始",1
82,"story","故事",1
83,"strange","陌生",2
84,"study","书房",1
85,"successor","继承者",1
86,"talent","才华",1
87,"task","任务",1
88,"tease","调侃",1
89,"temperature","体温",1
90,"touch","抚摸",1
91,"tree","树",1
92,"understand","了解",1
93,"vow","誓言",1
94,"warm","温暖",4
95,"water","浇",1
96,"wealth","财富",1
97,"wealthy","富裕",1
98,"witness","见证",1

统计信息
词汇总数,98个
总出现次数,112次
