故事36: 穿越王妃_权谋逆袭 - 词汇表

序号,词汇,中文释义,出现次数
1,"ability","能力",1
2,"accident","意外",1
3,"account","账目",1
4,"accounting","账目",1
5,"accuse","指控",1
6,"adapt","适应",1
7,"admire","钦佩",1
8,"affection","情感",1
9,"alliance","联盟",1
10,"ally","盟友",1
11,"appreciate","赞赏",1
12,"approach","接近",1
13,"arrive","到来",1
14,"await","等待",1
15,"battlefield","战场",2
16,"believe","相信",2
17,"betray","背叛",1
18,"bright","明亮",1
19,"butler","管家",1
20,"calm","镇定",1
21,"chamber","寝宫",1
22,"change","变化",1
23,"chaos","混乱",1
24,"cold","冷淡",1
25,"collude","勾结",1
26,"completely","完全",1
27,"comprehend","明白",1
28,"confident","自信",1
29,"confirm","确认",1
30,"conscience","良知",1
31,"conspiracy","阴谋",1
32,"conspire","密谋",1
33,"court","朝堂",1
34,"crime","罪证",2
35,"crisis","危机",1
36,"curious","好奇",1
37,"dangerous","危险",1
38,"defeat","失败",1
39,"demise","驾崩",1
40,"deny","否认",1
41,"dismiss","废黜",1
42,"dominant","主导",1
43,"doubt","怀疑",1
44,"elegant","优雅",1
45,"eliminate","消除",1
46,"embezzle","贪污",1
47,"embezzlement","贪污军饷",1
48,"emotion","情感",1
49,"empress","皇后",1
50,"enemy","敌人",1
51,"establish","建立",2
52,"evidence","证据",1
53,"expose","暴露",1
54,"expression","表情",1
55,"exquisite","精致",1
56,"fake","虚假",1
57,"female","女性",1
58,"firm","坚定",1
59,"force","力量",1
60,"formidable","令人敬畏",1
61,"fragile","柔弱",1
62,"frame","陷害",1
63,"frontier","边疆",1
64,"fury","震怒",1
65,"gradually","逐渐",1
66,"grave","严重",1
67,"handsome","英俊",1
68,"honor","荣耀",1
69,"hostile","敌对",1
70,"identity","身份",1
71,"ignore","忽视",1
72,"immediate","立即",1
73,"increasingly","日益",1
74,"indifferent","冷漠",1
75,"influence","影响力",1
76,"inquiry","询问",1
77,"intelligent","聪明",1
78,"intention","意图",1
79,"interact","互动",1
80,"interest","兴趣",1
81,"intricate","错综复杂",1
82,"investigate","调查",1
83,"jealous","嫉妒",1
84,"legendary","传奇",2
85,"loyal","忠诚",1
86,"mysterious","神秘",1
87,"negotiate","谈判",1
88,"observe","观察",1
89,"original","原先",1
90,"patient","耐心",1
91,"plan","策划",1
92,"plead","恳求",1
93,"powerful","强大",1
94,"predicament","困境",1
95,"princess","王妃",1
96,"private","私下",1
97,"proposal","提议",1
98,"propose","提议",1
99,"prosperity","繁荣",1
100,"realize","意识到",1
101,"rebellion","谋反",1
102,"record","记录",1
103,"reform","改革",1
104,"reliable","可信",2
105,"remember","铭记",1
106,"reputation","名声",1
107,"respect","尊重",1
108,"return","返回",1
109,"risk","冒险",1
110,"rough","粗略",1
111,"ruthless","冷酷",1
112,"scarce","匮乏",1
113,"scheme","阴谋",1
114,"sharp","锐利",1
115,"silence","沉默",1
116,"smile","微笑",1
117,"spread","散布",1
118,"spy","间谍",2
119,"straightforward","坦诚",1
120,"strategic","战略",1
121,"strategy","策略",1
122,"suggest","建议",1
123,"supply","供应",1
124,"surprise","惊讶",1
125,"survival","生存",1
126,"survive","生存",1
127,"suspect","怀疑",2
128,"suspicion","怀疑",1
129,"threaten","威胁",2
130,"tighten","紧锁",1
131,"trap","困住",1
132,"trust","信任",1
133,"understand","明白",2
134,"unfamiliar","陌生",1
135,"usurp","篡夺",1
136,"value","珍视",1
137,"weary","疲惫",1
138,"wife","妻子",1
139,"wisdom","智慧",1
140,"witness","证人",2

统计信息
词汇总数,140个
总出现次数,151次
