故事37: 追妻千里_悔婚之后 - 词汇表

序号,词汇,中文释义,出现次数
1,"action","行动",1
2,"apartment","公寓",1
3,"appear","出现",1
4,"approach","接近",2
5,"assistant","助理",1
6,"awkward","尴尬",1
7,"beautiful","美好",1
8,"believe","相信",1
9,"betray","背叛",1
10,"chance","机会",1
11,"change","改变",1
12,"chapel","教堂",1
13,"charm","魅力",1
14,"city","城市",1
15,"cold","冰冷",1
16,"coldness","冷漠",1
17,"compensate","弥补",1
18,"concern","关心",1
19,"confuse","困惑",1
20,"corner","角落",1
21,"courage","勇气",1
22,"deceive","欺骗",1
23,"deeply","深深地",1
24,"depart","离开",1
25,"designer","设计师",1
26,"determine","下定决心",1
27,"difficulty","难题",1
28,"direct","直接",1
29,"disappoint","失望",1
30,"dispatch","派人",1
31,"drive","赶走",1
32,"elegant","优雅",2
33,"embrace","拥抱",1
34,"emerge","崭露头角",1
35,"entire","全城",1
36,"eve","前夕",1
37,"existence","存在",1
38,"explain","解释",2
39,"fabricate","制造",1
40,"fading","褪去",1
41,"family","家人",1
42,"fashion","时尚",1
43,"fear","恐惧",1
44,"figure","人物",1
45,"flight","航班",1
46,"flower","花",1
47,"fly","飞往",1
48,"forgive","原谅",1
49,"founder","创立",1
50,"frantic","疯狂",1
51,"freeze","僵住",1
52,"gangster","流氓",1
53,"gift","礼物",1
54,"gown","礼服",1
55,"gratitude","感激",1
56,"guest","宾客",1
57,"hate","恨",2
58,"heart","心痛",2
59,"heir","继承人",1
60,"humiliate","羞辱",1
61,"ignore","忽视",1
62,"innocent","天真",1
63,"instant","瞬间",1
64,"intense","激烈",1
65,"international","国际",1
66,"interview","采访",1
67,"jealous","嫉妒",1
68,"laughingstock","笑柄",1
69,"launch","展开",1
70,"leave","离开",2
71,"legend","传奇",2
72,"life","生活",1
73,"long","漫长",2
74,"magazine","杂志",1
75,"mature","成熟",1
76,"memory","回忆",1
77,"method","方法",1
78,"mind","主意",2
79,"month","一个月",1
80,"observe","观察",1
81,"official","公务",1
82,"Paris","巴黎",2
83,"passionate","热情",1
84,"patience","耐心",1
85,"photo","照片",1
86,"promise","承诺",1
87,"propose","求婚",1
88,"protect","保护",1
89,"pursue","追求",3
90,"pursuit","追妻之旅",2
91,"quit","辞去",1
92,"rainy","雨夜",1
93,"raise","抬起",1
94,"realize","意识到",1
95,"recover","恢复",1
96,"refuse","拒绝",1
97,"regret","后悔",1
98,"restart","重新开始",1
99,"return","回家",1
100,"reveal","展露",1
101,"romantic","浪漫",1
102,"ruthless","冷酷",1
103,"screen","屏幕",1
104,"search","寻找",1
105,"secret","暗中",1
106,"severe","严重",1
107,"shock","震惊",1
108,"sincere","真诚",1
109,"sneer","冷笑",1
110,"soften","软化",1
111,"source","源泉",1
112,"strike","击中",1
113,"struggle","挣扎",1
114,"style","风格",1
115,"sudden","突然",1
116,"suffer","痛苦",1
117,"suitcase","行李箱",1
118,"surface","表面",1
119,"surround","围住",1
120,"swear","发誓",1
121,"tear","泪水",1
122,"timely","及时",1
123,"trace","踪迹",1
124,"trouble","麻烦",1
125,"truth","真相",1
126,"understand","了解",2
127,"unique","独特",1
128,"vanish","人间蒸发",1
129,"waver","动摇",1
130,"wet","淋湿",1
131,"whereabouts","去向",1
132,"whisper","低语",1
133,"wife","妻子",1

统计信息
词汇总数,133个
总出现次数,147次
