故事38: 商场如战_尔虞我诈 - 词汇表

序号,词汇,中文释义,出现次数
1,"abandon","放弃",1
2,"accounting","账目",3
3,"accurate","精准",1
4,"acquire","拿下",1
5,"adjust","调整",1
6,"aggressive","激进",1
7,"alert","警惕",1
8,"analysis","分析",1
9,"anonymous","匿名",1
10,"anticipate","预料",1
11,"approach","接触",1
12,"assist","协助",1
13,"attack","攻击",1
14,"awkward","尴尬",1
15,"brand","品牌",1
16,"bright","亮着",1
17,"calm","镇定",2
18,"carefully","仔细",1
19,"center","中心",1
20,"challenge","挑战",1
21,"channel","渠道",1
22,"client","客户",1
23,"cold","冰冷",1
24,"colleague","同事",1
25,"collect","收集",1
26,"compete","竞争",1
27,"competitor","竞争对手",3
28,"comprehensive","全面",1
29,"compromise","妥协",1
30,"computer","电脑",1
31,"conglomerate","企业集团",1
32,"convene","召开",1
33,"cooperative","合作",1
34,"cover","涵盖",1
35,"create","制造",1
36,"crucial","关键",1
37,"culprit","罪魁祸首",1
38,"damage","损害",1
39,"data","数据",2
40,"days","日子",1
41,"decision","决定",1
42,"defect","缺陷",1
43,"defend","辩解",1
44,"deliberately","故意",1
45,"disappoint","失望",1
46,"disrupt","扰乱",1
47,"dominant","主导",1
48,"eliminate","消除",1
49,"enormous","巨大",1
50,"establish","站稳",1
51,"evidence","证据",1
52,"execute","执行",1
53,"executive","主管",2
54,"expansion","扩张",2
55,"expression","脸色",1
56,"extensive","广泛",1
57,"favorable","有利",1
58,"field","领域",1
59,"flatter","奉承",1
60,"forge","伪造",1
61,"formal","正式",1
62,"fund","资金",1
63,"furrow","紧锁",1
64,"hesitate","犹豫",1
65,"history","历史",1
66,"immediate","立即",1
67,"implement","实施",1
68,"insufficient","不足",1
69,"intense","激烈",1
70,"intention","意图",1
71,"interest","感兴趣",1
72,"internal","内部",1
73,"intrigue","密谋",1
74,"investigate","调查",1
75,"launch","发起",1
76,"leader","领导",2
77,"leverage","筹码",1
78,"light","灯光",1
79,"log","日志",1
80,"logical","逻辑",1
81,"management","管理能力",1
82,"manager","经理",1
83,"manipulate","操纵",1
84,"marketing","营销",2
85,"meeting","会议",1
86,"method","手段",1
87,"month","一个月",1
88,"office","写字楼",1
89,"pale","苍白",1
90,"panic","恐慌",1
91,"passive","被动",1
92,"plagiarize","抄袭",1
93,"potential","潜力",1
94,"power","权力",1
95,"precise","精确",1
96,"predator","掠夺者",1
97,"presentation","演示",1
98,"principle","原则",1
99,"project","项目",1
100,"prominent","著名",1
101,"promote","提拔",1
102,"promotion","晋升",2
103,"provoke","挑衅",1
104,"reflection","反思",1
105,"relief","释然",1
106,"reputation","声誉",1
107,"resource","资源",2
108,"responsibility","负责权",1
109,"review","审查",1
110,"rival","对手",1
111,"rumor","谣言",1
112,"sabotage","破坏",1
113,"scheme","阴谋",1
114,"secretly","暗中",1
115,"senior","高级",2
116,"slight","轻微",1
117,"smooth","顺利",1
118,"sophisticated","老练",1
119,"source","来源",1
120,"spread","散布",1
121,"stern","严厉",1
122,"strategy","策略",1
123,"stumble","结巴",1
124,"suspend","停职",1
125,"tamper","篡改",1
126,"thorough","彻底",2
127,"trace","痕迹",1
128,"transparency","透明",1
129,"vice","副总",2
130,"vulnerable","脆弱",1
131,"weakness","弱点",1
132,"year","一年",1
133,"young","年轻",1

统计信息
词汇总数,133个
总出现次数,148次
