故事40: 闪婚甜恋_意外之爱 - 词汇表

序号,词汇,中文释义,出现次数
1,"absurd","荒谬",1
2,"alliance","联姻",1
3,"anniversary","纪念日",1
4,"appease","应付",1
5,"approach","接近",1
6,"awkward","尴尬",1
7,"calculate","算计",1
8,"comfortable","舒适",1
9,"confident","自信",1
10,"cooperate","合作",1
11,"creative","创意",1
12,"direct","直接",1
13,"elegant","优雅",1
14,"ending","结局",1
15,"expressionless","面无表情",1
16,"family","家庭",1
17,"flash","闪",1
18,"formal","正式",1
19,"fulfill","履行",1
20,"grand","盛大",1
21,"heir","继承人",1
22,"impulsively","冲动地",1
23,"independent","独立",1
24,"intense","激烈",1
25,"legend","传奇",1
26,"luxury","豪华",1
27,"manner","气度",1
28,"obligation","义务",1
29,"passionate","热烈",1
30,"pretend","伪装",2
31,"pride","骄傲",1
32,"professional","专业",2
33,"prop","道具",1
34,"relationship","关系",1
35,"revealing","暴露",1
36,"romantic","浪漫",1
37,"ruthless","冷漠",1
38,"seductive","诱惑",1
39,"sharp","尖锐",1
40,"shock","震惊",1
41,"sincere","真诚",1
42,"stranger","陌生人",1
43,"support","支持",1
44,"surprise","惊讶",1
45,"tenderness","温柔",1
46,"threaten","威胁",1
47,"transaction","交易",1
48,"understand","理解",1
49,"unexpected","意外",1
50,"valuable","有价值",1
51,"value","价值观",1
52,"warm","温暖",1

统计信息
词汇总数,52个
总出现次数,54次
