故事41: 女王归来_商业逆袭 - 词汇表

序号,词汇,中文释义,出现次数
1,"abandon","抛弃",1
2,"active","积极",1
3,"alliance","联盟",1
4,"always","总是",1
5,"announce","宣布",1
6,"apparent","表面",1
7,"approach","接近",1
8,"arduous","艰辛",1
9,"banquet","宴会",1
10,"betray","背叛",1
11,"bitter","惨痛",1
12,"brave","勇敢",1
13,"burning","燃烧",1
14,"business","商业",1
15,"calm","平静",1
16,"calmly","平静地",1
17,"capital","资本",1
18,"careful","小心",1
19,"ceremony","典礼",1
20,"chaos","混乱",1
21,"confident","自信",2
22,"conspiracy","阴谋",1
23,"consume","吞噬",1
24,"corruption","腐败",1
25,"courage","勇气",1
26,"crime","罪行",1
27,"critical","关键",1
28,"cruel","残酷",1
29,"dark","黑暗",1
30,"dawn","黎明",2
31,"deceive","欺骗",2
32,"destroy","毁灭",1
33,"detail","细节",1
34,"disguise","伪装",1
35,"document","文件",1
36,"elegant","优雅",2
37,"empire","帝国",1
38,"encourage","鼓励",1
39,"enormous","庞大",1
40,"evidence","证据",1
41,"excited","激动",1
42,"extraordinary","非凡",1
43,"finally","终于",1
44,"firm","坚定",1
45,"firmly","坚定",1
46,"fluent","流利",1
47,"foundation","基金会",1
48,"fraud","欺诈",1
49,"giant","巨头",1
50,"graceful","优雅",1
51,"grand","盛大",1
52,"greet","问候",1
53,"heir","继承人",1
54,"help","帮助",1
55,"identity","身份",1
56,"illegal","非法",2
57,"immediately","立即",1
58,"influential","有影响力的",1
59,"information","信息",1
60,"inspire","启发",1
61,"intention","意图",1
62,"interest","感兴趣",1
63,"intimate","亲密",1
64,"investigate","调查",1
65,"investment","投资",1
66,"investor","投资者",1
67,"legend","传奇",1
68,"luxurious","奢华",1
69,"magnificent","壮丽",2
70,"method","方法",1
71,"meticulous","精心",1
72,"mission","任务",1
73,"mysterious","神秘",1
74,"nervous","紧张",1
75,"noble","高贵",1
76,"numerous","无数",1
77,"opportunity","机会",1
78,"partner","伙伴",1
79,"patience","耐心",1
80,"patient","耐心",1
81,"plan","计划",1
82,"pleasure","荣幸",1
83,"professional","专业",1
84,"proud","自豪",1
85,"punish","惩罚",1
86,"realize","意识到",1
87,"recall","回忆",1
88,"reliable","可靠",1
89,"relief","释然",1
90,"respect","尊重",1
91,"responsibility","责任",1
92,"scrutiny","审查",1
93,"secret","暗中",1
94,"share","分享",1
95,"shock","震惊",1
96,"silent","安静",1
97,"smart","聪明",1
98,"sober","清醒",1
99,"spacious","宽敞",1
100,"spend","花费",1
101,"strategy","策略",1
102,"strong","强烈",1
103,"successful","成功",1
104,"systematic","系统",1
105,"tragic","悲惨",1
106,"trust","信任",1
107,"valuable","有价值",1
108,"value","价值",1
109,"victim","受害者",1
110,"vulnerable","脆弱",1
111,"wealthy","富有的",1
112,"wisdom","智慧",2
113,"worried","担忧",1

统计信息
词汇总数,113个
总出现次数,120次
