故事42: 霸总真心_真爱告白 - 词汇表

序号,词汇,中文释义,出现次数
1,"accompany","陪伴",1
2,"active","积极",1
3,"always","总是",3
4,"anniversary","纪念日",1
5,"appetizer","前菜",1
6,"arrange","整理",1
7,"beautiful","美丽",1
8,"bright","明亮",2
9,"brilliant","璀璨",1
10,"candle","蜡烛",1
11,"care","用心",2
12,"careful","细心",3
13,"cherish","珍惜",1
14,"cold","冷漠",1
15,"confess","告白",1
16,"confident","自信",1
17,"congratulations","祝贺",1
18,"create","创造",1
19,"crystal","水晶",1
20,"decoration","装饰",1
21,"deep","深厚",2
22,"dessert","甜点",1
23,"diamond","钻石",1
24,"distant","疏远",1
25,"dress","裙子",1
26,"elegant","优雅",1
27,"encourage","鼓励",1
28,"exhausted","疲惫",1
29,"express","表达",1
30,"exquisite","精致",2
31,"familiar","熟悉",1
32,"favorite","最爱",1
33,"focus","专注",1
34,"gentle","温柔",5
35,"goblet","酒杯",1
36,"grand","盛大",1
37,"happily","幸福",1
38,"happy","幸福",1
39,"hundred","百",1
40,"influential","有影响力的",1
41,"leader","领导者",1
42,"legend","传奇",1
43,"love","爱意",1
44,"luxurious","奢华",1
45,"manage","经营",1
46,"marriage","婚姻",1
47,"model","模范",1
48,"moved","感动",1
49,"necklace","项链",1
50,"nervous","紧张",1
51,"never","从不",1
52,"notice","注意到",1
53,"patient","耐心",1
54,"perfect","完美",1
55,"plan","策划",1
56,"powerful","强势",1
57,"precious","珍贵",1
58,"prepare","准备",1
59,"present","展示",1
60,"pressure","压力",1
61,"profession","职业",1
62,"recall","回忆",1
63,"relax","放松",1
64,"remember","记得",1
65,"respect","尊重",1
66,"role","角色",1
67,"romantic","浪漫",1
68,"rose","玫瑰",1
69,"scented","香薰",1
70,"serve","端上",1
71,"skill","技巧",1
72,"smile","微笑",1
73,"successful","成功",2
74,"support","支持",1
75,"surprise","惊喜",3
76,"sweet","甜蜜",1
77,"touch","感动",1
78,"wait","等待",2
79,"warm","温馨",1
80,"wonderful","美好",1
81,"worried","担忧",1

统计信息
词汇总数,81个
总出现次数,97次
