故事43: 职场风云_升职记 - 词汇表

序号,词汇,中文释义,出现次数
1,"accurate","准确",1
2,"achieve","成就",1
3,"active","积极",4
4,"always","总是",2
5,"applause","掌声",1
6,"atmosphere","氛围",2
7,"authoritative","权威",1
8,"avoid","逃避",1
9,"brave","勇敢",1
10,"busy","忙碌",2
11,"calm","冷静",1
12,"challenge","挑战",2
13,"colleague","同事",1
14,"combine","联合",1
15,"confidence","自信",2
16,"current","当前",1
17,"delay","延误",1
18,"detail","细节",1
19,"difficulty","困难",1
20,"dream","梦想",1
21,"encourage","鼓励",1
22,"equipment","设备",1
23,"excited","激动",1
24,"experience","经验",2
25,"finally","终于",1
26,"focus","专注",1
27,"formal","正式",1
28,"friend","朋友",1
29,"graduate","毕业",1
30,"growth","增长",1
31,"help","帮助",1
32,"history","历史",1
33,"incident","事件",1
34,"industry","行业",1
35,"innovative","创新",1
36,"inspire","启发",1
37,"intense","激烈",1
38,"invite","邀请",1
39,"key","关键",1
40,"logic","逻辑",1
41,"manager","经理",1
42,"material","材料",1
43,"moment","时刻",1
44,"nervous","紧张",2
45,"never","从不",1
46,"notice","注意到",1
47,"observe","观察",1
48,"opportunity","机会",3
49,"patient","耐心",1
50,"perfectly","完美",1
51,"performance","表现",1
52,"prepare","准备",1
53,"present","展示",1
54,"professional","专业",1
55,"promote","晋升",1
56,"proud","自豪",1
57,"question","质疑",1
58,"rehearse","排练",1
59,"report","汇报",1
60,"request","请求",1
61,"respect","尊重",1
62,"responsibility","责任",1
63,"saturate","饱和",1
64,"segment","细分",1
65,"senior","资深",1
66,"serious","严肃",1
67,"share","分享",2
68,"shocked","震惊",1
69,"shortcut","捷径",1
70,"silent","安静",1
71,"simulate","模拟",1
72,"skill","技能",1
73,"slight","略微",1
74,"smooth","流畅",1
75,"spend","投入",1
76,"steady","平稳",1
77,"strategy","策略",1
78,"strive","奋斗",1
79,"successful","成功",1
80,"supervisor","主管",1
81,"target","目标",1
82,"training","培训",1
83,"trend","趋势",1
84,"unexpected","意外",1
85,"university","大学",1
86,"value","价值",1
87,"voice","声音",1
88,"volunteer","主动",1

统计信息
词汇总数,88个
总出现次数,101次
