故事52: 霸总追妻_悔婚后 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极",1
2,"always","总是",2
3,"anxious","焦虑",1
4,"anxiously","焦虑地",1
5,"apologize","道歉",1
6,"appear","出现",1
7,"arrange","安排",1
8,"arrogant","傲慢",1
9,"attitude","态度",1
10,"behavior","行为",1
11,"busy","忙碌",1
12,"care","关爱",1
13,"careful","细心的",1
14,"carefully","仔细地",1
15,"cherish","珍惜",1
16,"cold","冷淡",1
17,"comfortable","舒适",1
18,"consider","考虑",1
19,"deep","深厚",1
20,"deeply","深深地",2
21,"deliver","呈现",1
22,"determined","坚定",1
23,"devotion","深情",1
24,"difficult","困难的",1
25,"encourage","鼓励",1
26,"expect","期待",1
27,"finally","终于",1
28,"forgive","原谅",2
29,"genuine","真挚",3
30,"guilt","愧疚",1
31,"hope","希望",1
32,"hug","拥抱",1
33,"huge","巨大的",1
34,"hurt","伤害",1
35,"ignorant","无知",1
36,"legend","传奇",2
37,"level","层次",1
38,"love","爱意",1
39,"luxurious","奢华的",1
40,"marriage","婚姻",1
41,"mistake","错误",1
42,"moved","感动",2
43,"nervous","紧张",1
44,"never","从不",1
45,"pain","痛苦",1
46,"painful","痛苦",1
47,"patient","耐心",1
48,"personally","亲自",1
49,"plan","计划",1
50,"powerful","有权势的",1
51,"prepare","准备",2
52,"publicly","公开地",1
53,"regret","后悔",1
54,"respect","尊重",1
55,"romantic","浪漫",1
56,"share","分享",1
57,"sincere","真诚",7
58,"spacious","宽敞的",1
59,"spend","花费",1
60,"successful","成功",1
61,"support","支持",1
62,"surprise","惊讶",1
63,"tear","眼泪",1
64,"thoughtful","体贴的",1
65,"trust","信任",1
66,"wait","等待",1
67,"warm","温暖",2
68,"warmth","温暖",1
69,"win","赢回",1
70,"worried","担忧",1

统计信息
词汇总数,70个
总出现次数,85次
