故事53: 职场斗争_明争暗斗 - 词汇表

序号,词汇,中文释义,出现次数
1,"ability","能力",1
2,"achieve","成就",1
3,"active","积极",3
4,"adjust","调整",1
5,"alert","警惕",1
6,"always","总是",2
7,"appearance","表现",1
8,"appropriate","适当的",1
9,"approve","认可",1
10,"assessment","考核",1
11,"atmosphere","氛围",2
12,"attitude","态度",2
13,"battlefield","战场",1
14,"behavior","行为",1
15,"brave","勇敢",1
16,"busy","忙碌的",1
17,"calm","冷静",2
18,"carefully","仔细地",1
19,"challenge","挑战",2
20,"colleague","同事",1
21,"compete","竞争",1
22,"competitive","竞争性的",1
23,"competitor","竞争对手",2
24,"complex","复杂的",2
25,"comprehensive","全面的",1
26,"concentrate","全神贯注",1
27,"confident","自信",1
28,"continue","延续",1
29,"continuous","持续的",1
30,"courage","勇气",1
31,"crisis","危机",1
32,"difficult","困难的",1
33,"disturb","干扰",1
34,"dream","梦想",1
35,"effort","努力",1
36,"encourage","鼓励",1
37,"excellent","优秀的",1
38,"excited","激动",1
39,"experience","经历",1
40,"fierce","激烈的",1
41,"finally","终于",1
42,"focus","专注",1
43,"generous","慷慨",1
44,"help","帮助",1
45,"important","重要的",1
46,"inspire","启发",1
47,"interest","利益",1
48,"modern","现代的",1
49,"nervous","紧张",2
50,"never","从不",1
51,"notice","通知",1
52,"observe","观察",1
53,"partner","伙伴",1
54,"patient","耐心",1
55,"patiently","耐心地",1
56,"persist","坚持",2
57,"positive","积极的",1
58,"pressure","压力",1
59,"professional","专业",2
60,"project","项目",1
61,"promote","晋升",1
62,"proud","自豪",1
63,"relationship","关系",2
64,"reputation","声誉",1
65,"respect","尊重",1
66,"sabotage","破坏",1
67,"scheme","心机",1
68,"senior","资深的",1
69,"share","分享",2
70,"shocked","震惊",1
71,"situation","情况",1
72,"skill","技能",1
73,"spend","投入",1
74,"strategy","策略",1
75,"successful","成功",1
76,"supervisor","主管",1
77,"task","任务",1
78,"university","大学",1
79,"value","价值",1
80,"wisdom","智慧",3
81,"young","年轻的",1

统计信息
词汇总数,81个
总出现次数,97次
