故事57: 霸总宠溺_甜宠日常 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极",1
2,"always","总是",2
3,"arrange","安排",1
4,"beautiful","美丽",1
5,"bright","灿烂",1
6,"busy","忙碌",1
7,"care","用心",2
8,"careful","细心",1
9,"carefully","仔细地",1
10,"celebrate","庆祝",1
11,"cherish","珍惜",1
12,"choose","选择",1
13,"cold","冷酷",1
14,"comfortable","舒适",1
15,"confess","告白",1
16,"consider","考虑",1
17,"deep","深厚",2
18,"deeply","深深地",1
19,"delicious","美味",1
20,"deliver","呈现",1
21,"design","设计",1
22,"determined","坚定",1
23,"devotion","深情",1
24,"effect","效果",1
25,"encourage","鼓励",1
26,"excited","兴奋",1
27,"exhausted","疲惫",2
28,"finally","终于",1
29,"gentle","温柔",1
30,"genuine","真挚",1
31,"happy","幸福",1
32,"hug","拥抱",1
33,"legend","传奇",2
34,"level","层次",1
35,"love","爱意",1
36,"luxurious","奢华的",1
37,"marriage","婚姻",1
38,"moved","感动",2
39,"nervous","紧张",1
40,"never","从不",1
41,"patient","耐心",1
42,"patiently","耐心地",1
43,"personally","亲自",1
44,"plan","计划",1
45,"powerful","有权势的",1
46,"precious","珍贵的",1
47,"prepare","准备",2
48,"pressure","压力",1
49,"respect","尊重",1
50,"share","分享",1
51,"sincere","真诚",3
52,"small","小的",1
53,"spacious","宽敞的",1
54,"special","特别",1
55,"spend","花费",1
56,"successful","成功",1
57,"support","支持",1
58,"tear","眼泪",1
59,"thoughtful","体贴",1
60,"wait","等待",1
61,"warm","温馨",1
62,"warmth","温暖",2
63,"worried","担忧",1

统计信息
词汇总数,63个
总出现次数,73次
