故事58: 职场新人_奋斗之路 - 词汇表

序号,词汇,中文释义,出现次数
1,"ability","能力",1
2,"achieve","成就",1
3,"active","积极",3
4,"adjust","调整",1
5,"always","总是",2
6,"appearance","表现",1
7,"approve","认可",1
8,"assessment","考核",1
9,"atmosphere","氛围",1
10,"attitude","态度",1
11,"brave","勇敢",1
12,"busy","忙碌的",1
13,"calm","冷静",1
14,"challenge","挑战",2
15,"colleague","同事",1
16,"compete","竞争",1
17,"competitor","竞争对手",1
18,"complete","完成",1
19,"comprehensive","全面",1
20,"concentrate","全神贯注",1
21,"confidence","自信",1
22,"confident","自信",2
23,"construct","建设",1
24,"continue","延续",1
25,"continuous","持续",1
26,"courage","勇气",1
27,"crisis","危机",1
28,"direction","方向",1
29,"dream","梦想",1
30,"efficient","高效",1
31,"effort","努力",1
32,"encourage","鼓励",1
33,"environment","环境",1
34,"excited","激动",1
35,"experience","经历",1
36,"finally","终于",1
37,"focus","专注",1
38,"generous","慷慨",1
39,"help","帮助",1
40,"inspire","启发",1
41,"intelligent","聪明",1
42,"intense","激烈",1
43,"manager","经理",1
44,"modern","现代的",1
45,"nervous","紧张",2
46,"never","从不",1
47,"notice","通知",1
48,"opportunity","机会",1
49,"outstanding","杰出",1
50,"patient","耐心",1
51,"perfectly","完美",1
52,"positive","积极",1
53,"potential","潜力",1
54,"prepare","准备",2
55,"professional","专业",2
56,"project","项目",1
57,"promote","晋升",1
58,"proud","自豪",1
59,"rehearse","排练",1
60,"report","汇报",1
61,"respect","尊重",1
62,"responsibility","责任",1
63,"secretly","秘密地",1
64,"share","分享",2
65,"sharp","尖锐",1
66,"shocked","震惊",1
67,"skill","技能",1
68,"spend","投入",1
69,"strategy","策略",1
70,"successful","成功",1
71,"supervisor","主管",1
72,"task","任务",1
73,"thoroughly","彻底",1
74,"unexpected","意想不到",1
75,"university","大学",1
76,"value","价值",1
77,"wisdom","智慧",1
78,"young","年轻",1

统计信息
词汇总数,78个
总出现次数,87次
