故事60: 闪婚幸福_甜蜜婚姻 - 词汇表

序号,词汇,中文释义,出现次数
1,"ability","能力",1
2,"active","积极",1
3,"adapt","适应",1
4,"admit","承认",1
5,"always","总是",1
6,"analyze","分析",1
7,"blossom","萌芽",1
8,"care","关心",2
9,"careful","仔细",1
10,"carefully","仔细地",1
11,"challenge","挑战",1
12,"cherish","珍惜",1
13,"close","靠近",1
14,"complete","完成",1
15,"complicate","复杂",1
16,"confess","告白",1
17,"confused","困惑",1
18,"control","控制",1
19,"courage","勇气",1
20,"curious","好奇",1
21,"danger","危险",1
22,"define","定义",1
23,"discover","发现",2
24,"elegant","优雅",1
25,"encourage","鼓励",1
26,"environment","环境",1
27,"finally","终于",1
28,"gentle","温柔",1
29,"graceful","优雅",1
30,"happily","幸福地",1
31,"happy","开心",1
32,"hope","希望",1
33,"indifferent","冷淡",1
34,"legend","传奇",1
35,"luxurious","奢华的",1
36,"maintain","保持",1
37,"marriage","婚姻",1
38,"medicine","药品",1
39,"modern","现代",1
40,"moved","感动",1
41,"natural","自然",1
42,"nervous","紧张",3
43,"obligation","义务",1
44,"observe","观察",2
45,"organize","整理",1
46,"patient","耐心",1
47,"polite","礼貌",1
48,"protect","保护",1
49,"rainy","下雨",1
50,"rationality","理智",1
51,"real","真实",1
52,"reborn","重生",1
53,"remind","提醒",2
54,"respect","尊重",1
55,"share","分享",1
56,"spacious","宽敞",1
57,"special","特别",2
58,"spend","花费",1
59,"successful","成功",1
60,"support","支持",1
61,"surprised","惊讶",1
62,"touched","感动",1
63,"try","尝试",1
64,"understand","了解",1
65,"unexpected","意想不到",1
66,"warmth","温暖",1

统计信息
词汇总数,66个
总出现次数,73次
