故事62: 霸总温柔_只对她好 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极",1
2,"arrange","安排",1
3,"brand","品牌",1
4,"careful","细心",1
5,"consult","请教",1
6,"deep","深厚",1
7,"elegant","优雅",1
8,"embarrass","尴尬",1
9,"encourage","鼓励",1
10,"excellent","优秀",1
11,"fear","恐惧",1
12,"fortunate","幸运",1
13,"gentle","温柔",1
14,"guidance","指导",1
15,"hurry","匆忙",1
16,"innocent","单纯",1
17,"inspire","启发",1
18,"legend","传奇",1
19,"love","爱意",1
20,"luxurious","奢华",1
21,"moved","感动",1
22,"patient","耐心",1
23,"plan","策划",1
24,"pleasant","愉快",1
25,"precious","珍贵",1
26,"prepare","准备",1
27,"rare","稀有",1
28,"respect","尊重",1
29,"share","分享",1
30,"sincere","真诚",2
31,"slim","消瘦",1
32,"strict","严厉",2
33,"support","支持",1
34,"surprise","惊喜",1
35,"talent","才华",1
36,"thoughtful","周到",1
37,"tropical","热带",1
38,"wait","等待",1
39,"warm","温馨",1
40,"worried","担忧",1

统计信息
词汇总数,40个
总出现次数,42次
