故事63: 职场晋升_步步高升 - 词汇表

序号,词汇,中文释义,出现次数
1,"accurate","准确",1
2,"analysis","分析",1
3,"appreciate","赏识",2
4,"approve","认可",1
5,"atmosphere","气氛",1
6,"brave","勇敢",1
7,"busy","忙碌",1
8,"calm","冷静",1
9,"careful","仔细",1
10,"confident","自信",1
11,"conflict","冲突",1
12,"convince","说服力",1
13,"critical","关键",1
14,"determined","坚定",1
15,"dream","梦想",1
16,"excited","激动",1
17,"exhaust","耗尽",1
18,"focus","专注",1
19,"growth","成长",1
20,"humble","谦逊",2
21,"insight","见解",1
22,"inspire","启发",1
23,"intense","激烈",1
24,"logic","逻辑",1
25,"modest","谦虚",1
26,"nervous","紧张",1
27,"performance","业绩",1
28,"prepare","准备",1
29,"professional","专业",2
30,"proposal","提案",1
31,"rehearse","排练",1
32,"respect","尊重",1
33,"satisfy","满意",1
34,"schedule","日程",1
35,"share","分享",1
36,"solution","解决方案",1
37,"spend","投入",1
38,"work","工作",1
39,"worried","担忧",1

统计信息
词汇总数,39个
总出现次数,42次
