故事65: 契约婚姻_先婚后爱 - 词汇表

序号,词汇,中文释义,出现次数
1,"always","总是",1
2,"bloom","绽放",1
3,"blossom","萌芽",1
4,"careful","仔细",1
5,"close","靠近",1
6,"complicate","复杂",1
7,"confuse","困惑",1
8,"control","控制",1
9,"elegant","优雅",1
10,"finally","终于",1
11,"formal","正式",1
12,"handsome","英俊",1
13,"happily","幸福地",1
14,"hope","希望",1
15,"impression","印象",1
16,"maintain","保持",1
17,"marriage","婚姻",1
18,"nervous","紧张",1
19,"observe","观察",1
20,"occupy","占据",1
21,"organize","整理",1
22,"polite","礼貌",1
23,"pretend","假装",1
24,"rational","理性",1
25,"rationality","理智",1
26,"real","真实",1
27,"relief","轻松",1
28,"spacious","宽敞",1
29,"spend","花费",1
30,"strong","坚强",1
31,"successful","成功",1

统计信息
词汇总数,31个
总出现次数,31次
