故事67: 霸总守护_一生一人 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极",1
2,"always","总是",1
3,"brilliant","璀璨",1
4,"care","用心",1
5,"careful","细心",1
6,"consult","咨询",1
7,"deep","深厚",1
8,"deliver","呈现",1
9,"determine","决心",1
10,"determined","坚定",1
11,"distinguished","杰出",1
12,"encourage","鼓励",1
13,"excited","兴奋",1
14,"exquisite","精致",1
15,"finally","终于",1
16,"gentle","温柔",1
17,"gradually","逐渐",1
18,"legend","传奇",1
19,"love","爱意",1
20,"magnetic","磁性",1
21,"model","典范",1
22,"moved","感动",1
23,"nervous","紧张",1
24,"patient","耐心",1
25,"plan","策划",1
26,"precious","珍贵",1
27,"prepare","准备",1
28,"profound","深厚",1
29,"rational","理性",1
30,"sincere","真诚",1
31,"spend","花费",1
32,"successful","成功",1
33,"transform","转变",1
34,"wait","等待",1
35,"warm","温馨",1
36,"worried","担忧",1

统计信息
词汇总数,36个
总出现次数,36次
