故事68: 职场成功_努力证明 - 词汇表

序号,词汇,中文释义,出现次数
1,"achieve","成就",1
2,"active","积极",2
3,"always","总是",2
4,"ambitious","雄心勃勃",1
5,"brave","勇敢",1
6,"busy","忙碌",1
7,"challenge","挑战",1
8,"confidence","自信",1
9,"confident","自信",1
10,"dream","梦想",1
11,"encourage","鼓励",1
12,"excited","激动",1
13,"finally","终于",1
14,"focus","专注",1
15,"help","帮助",1
16,"inspire","启发",1
17,"legend","传奇",1
18,"nervous","紧张",2
19,"never","从不",1
20,"observe","观察",1
21,"patient","耐心",1
22,"perfectly","完美",1
23,"performance","表现",1
24,"professional","专业",1
25,"proud","自豪",1
26,"rehearse","排练",1
27,"respect","尊重",1
28,"share","分享",1
29,"shocked","震惊",1
30,"skeptical","质疑",1
31,"spend","投入",1
32,"successful","成功",1
33,"work","工作",1

统计信息
词汇总数,33个
总出现次数,36次
