故事69: 校园恋爱_青春记忆 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极",1
2,"always","总是",2
3,"beautiful","美丽",2
4,"blossom","萌芽",1
5,"close","靠近",1
6,"courage","勇气",1
7,"dream","梦想",1
8,"encourage","鼓励",1
9,"enjoy","享受",1
10,"excited","兴奋",1
11,"fascinating","迷人",1
12,"finally","终于",1
13,"hold","屏住",1
14,"legend","传奇",1
15,"nervous","紧张",1
16,"never","从不",1
17,"patient","耐心",1
18,"peaceful","平静",1
19,"practice","练习",1
20,"read","阅读",1
21,"respect","尊重",1
22,"romantic","浪漫",1
23,"share","分享",1
24,"shy","羞涩",1
25,"sincere","真诚",1
26,"support","支持",1
27,"surprised","惊喜",1
28,"wait","等待",1

统计信息
词汇总数,28个
总出现次数,30次
