故事6: 职场逆袭_从实习生到总监_遭遇霸凌 - 词汇表

序号,词汇,中文释义,出现次数
1,"accumulate","积累",1
2,"achievement","成就",1
3,"adjust","调整",2
4,"admire","钦佩",1
5,"advice","建议",1
6,"affect","影响",1
7,"anxiety","焦虑",1
8,"arrangement","安排",1
9,"arrogant","傲慢",1
10,"artificial","人为的",1
11,"assign","分配",1
12,"attack","攻击",1
13,"authority","权威",1
14,"avoid","逃避",1
15,"balance","平衡",1
16,"behavior","行为",1
17,"brave","勇敢",1
18,"breathe","呼吸",1
19,"build","建立",1
20,"bully","霸凌",1
21,"burden","负担",1
22,"calm","冷静的",1
23,"challenge","挑战",1
24,"claim","声称",1
25,"communicate","沟通",1
26,"competent","有能力的",1
27,"complicate","复杂",1
28,"confidence","信心",2
29,"confuse","困惑",1
30,"connect","联系",1
31,"control","控制",1
32,"cooperate","合作",1
33,"cope","应对",1
34,"courage","勇气",1
35,"criticize","批评",1
36,"culture","文化",1
37,"damage","损害",1
38,"defense","防线",1
39,"deliberate","故意的",1
40,"demonstrate","证明",1
41,"deny","否认",1
42,"difficulty","困难",1
43,"discipline","纪律处分",1
44,"discriminate","歧视",1
45,"distort","歪曲",1
46,"document","文档",1
47,"efficiency","效率",1
48,"embarrass","使尴尬",1
49,"emotion","情绪",1
50,"encourage","鼓励",1
51,"establish","建立",1
52,"evidence","证据",2
53,"exclude","排挤",1
54,"experience","经历",1
55,"fair","公平的",1
56,"false","虚假的",1
57,"feedback","反馈",1
58,"formal","正式的",1
59,"frustrate","沮丧",1
60,"gather","收集",1
61,"goal","目标",1
62,"gradually","逐渐",1
63,"growth","成长",2
64,"guidance","指导",1
65,"handle","处理",2
66,"harassment","骚扰",1
67,"hardship","艰难",1
68,"harm","伤害",1
69,"harsh","严厉的",2
70,"helpless","无助",1
71,"hostile","敌对的",1
72,"HR","人力资源部门",1
73,"humble","谦逊的",1
74,"humiliation","羞辱",1
75,"hurt","伤害",1
76,"ignore","忽视",1
77,"impact","影响",1
78,"incapable","无能力的",1
79,"incident","事件",1
80,"incompetent","无能的",1
81,"increase","增加",1
82,"inferior","低等的",1
83,"injustice","不公正",1
84,"insufficient","不足的",1
85,"insult","侮辱",1
86,"integrity","正直",1
87,"intelligence","智力",1
88,"interaction","互动",1
89,"investigate","调查",1
90,"isolate","孤立",2
91,"issue","问题",1
92,"journal","日记",1
93,"justice","正义",1
94,"label","标签",1
95,"lesson","教训",1
96,"light","光明",1
97,"malicious","恶意的",1
98,"mature","成熟",2
99,"means","手段",1
100,"mental","精神的",1
101,"mention","提及",1
102,"mentor","导师",1
103,"method","方法",1
104,"mockery","嘲笑",1
105,"modify","修改",1
106,"network","人脉",1
107,"observe","观察",1
108,"obstacle","障碍",1
109,"obvious","明显的",1
110,"opportunity","机会",1
111,"organizational","组织的",1
112,"outcome","结果",1
113,"overcome","克服",2
114,"participate","参与",1
115,"patience","耐心",1
116,"pause","暂停",1
117,"perseverance","坚持",1
118,"persist","坚持",1
119,"phenomenon","现象",1
120,"physical","身体的",1
121,"policy","政策",1
122,"positive","积极的",1
123,"power","力量",1
124,"praise","赞扬",1
125,"prepare","准备",1
126,"present","呈现",1
127,"pressure","压力",1
128,"principle","原则",1
129,"professional","专业",1
130,"psychological","心理的",1
131,"public","公开的",1
132,"pursue","追求",1
133,"quality","质量",1
134,"recall","回想",1
135,"recognition","认可",1
136,"regulate","调节",1
137,"relation","关系",1
138,"release","释放",1
139,"relieve","释然",1
140,"remark","言论",1
141,"report","报告",2
142,"reputation","声誉",1
143,"respect","尊重",2
144,"responsibility","责任",1
145,"result","结果",1
146,"rumor","谣言",1
147,"sacrifice","牺牲",1
148,"sarcasm","讽刺",1
149,"seek","寻求",1
150,"serious","严重的",1
151,"shameless","无耻的",1
152,"sharp","尖锐的",1
153,"silence","沉默",1
154,"sincere","真诚",1
155,"skill","技能",1
156,"slander","诽谤",1
157,"specific","具体",1
158,"spread","传播",1
159,"stable","稳定的",1
160,"standard","标准",1
161,"step","步骤",1
162,"strategic","策略性的",1
163,"strategy","策略",1
164,"strengthen","加强",1
165,"struggle","挣扎",1
166,"succeed","成功",1
167,"sudden","突然的",1
168,"suggestion","建议",1
169,"support","支持",1
170,"sympathize","同情",1
171,"symptom","症状",1
172,"systematic","系统的",1
173,"tactic","策略",1
174,"target","针对",1
175,"temporary","暂时的",1
176,"therapy","治疗",1
177,"tone","语气",1
178,"transform","转变",1
179,"trend","趋势",1
180,"uncertain","不确定的",1
181,"unfair","不公平的",3
182,"unqualified","不合格的",1
183,"unwelcome","不受欢迎的",1
184,"value","价值",1
185,"verbal","言语的",1
186,"warm","热情的",1
187,"warn","警告",1
188,"whisper","低语",1
189,"willpower","意志力",1
190,"wisdom","智慧",1
191,"witness","证人",1
192,"worthless","无价值的",1
193,"written","书面的",1

统计信息
词汇总数,193个
总出现次数,206次
