故事71: 女王风范_商业传奇 - 词汇表

序号,词汇,中文释义,出现次数
1,"advance","先进",1
2,"approach","接近",1
3,"assist","协助",1
4,"betray","背叛",1
5,"calm","平静",2
6,"careful","仔细",1
7,"challenge","挑战",1
8,"courage","勇气",1
9,"critical","关键",1
10,"current","当前",1
11,"deny","否认",1
12,"deprive","剥夺",1
13,"deserve","应得",1
14,"determine","下定决心",1
15,"disguise","伪装",1
16,"dramatic","戏剧性的",1
17,"effective","有效",1
18,"expose","曝光",1
19,"firm","坚定",1
20,"image","形象",1
21,"injustice","不公正",1
22,"innocent","天真",1
23,"innovative","创新的",1
24,"leader","领导者",1
25,"luxurious","奢华",1
26,"patience","耐心",1
27,"plan","计划",1
28,"polite","礼貌",1
29,"powerless","无能为力",1
30,"pressure","压力",1
31,"recall","回忆",1
32,"relief","释然",1
33,"remarkable","卓越",1
34,"ruthless","无情",1
35,"sacrifice","牺牲",1
36,"scandal","丑闻",1
37,"scheme","阴谋",1
38,"surprise","惊讶",1
39,"suspicious","可疑",1
40,"tasteful","有品味的",1
41,"threaten","威胁",1
42,"tragedy","悲剧",1
43,"trust","信任",1
44,"unexpected","意想不到",1
45,"vulnerable","脆弱",1
46,"weakness","弱点",1
47,"wisdom","智慧",1

统计信息
词汇总数,47个
总出现次数,48次
