故事73: 职场奋斗_不断进步 - 词汇表

序号,词汇,中文释义,出现次数
1,"achieve","成就",1
2,"analyze","分析",1
3,"attitude","态度",1
4,"busy","忙碌",1
5,"challenge","挑战",1
6,"confidence","自信",1
7,"environment","环境",1
8,"excited","兴奋",1
9,"experienced","有经验的",1
10,"graduate","毕业",1
11,"inspire","启发",1
12,"issue","问题",1
13,"nervous","紧张",1
14,"perfectly","完美地",1
15,"prepare","准备",1
16,"present","呈现",1
17,"pressure","压力",1
18,"professional","专业的",1
19,"prospect","前景",1
20,"rehearse","排练",1
21,"spend","投入",1
22,"strategy","策略",1
23,"suggest","建议",1
24,"surprised","惊讶",1
25,"tip","提示",1
26,"urban","城市的",1
27,"work","工作",1

统计信息
词汇总数,27个
总出现次数,27次
