故事77: 霸总宠爱_永远守护 - 词汇表

序号,词汇,中文释义,出现次数
1,"accidental","偶然",1
2,"accompany","陪伴",1
3,"active","积极",1
4,"always","总是",2
5,"anniversary","纪念日",1
6,"approach","接近",1
7,"arrange","布置",1
8,"candlelight","烛光",1
9,"care","用心",6
10,"careful","仔细",2
11,"celebrate","庆祝",1
12,"change","改变",2
13,"cherish","珍惜",3
14,"confident","自信",1
15,"cook","烹饪",1
16,"deep","深厚",1
17,"deliver","呈现",1
18,"determined","坚定",1
19,"difficulty","困难",1
20,"disappear","消失",1
21,"domestic","居家",1
22,"dominant","霸总",1
23,"encourage","鼓励",1
24,"establish","建立",1
25,"excited","兴奋",1
26,"exhaust","疲惫",1
27,"expectant","期待",1
28,"express","表达",1
29,"finally","终于",1
30,"fresh","新鲜",1
31,"gentle","温柔",1
32,"gradually","逐渐",1
33,"guard","守护",1
34,"happy","快乐",1
35,"hesitate","犹豫",1
36,"hug","拥抱",1
37,"impress","印象深刻",1
38,"inspire","激励",1
39,"legend","传奇",1
40,"love","爱意",1
41,"luxurious","豪华",1
42,"manage","经营",2
43,"method","方式",2
44,"moved","感动",1
45,"nervous","紧张",1
46,"never","从不",1
47,"participate","参加",1
48,"patient","耐心",1
49,"personally","亲自",1
50,"plan","策划",2
51,"precious","珍贵",1
52,"prepare","准备",3
53,"private","私人",1
54,"professional","专业",1
55,"relax","放松",1
56,"respect","尊重",1
57,"romantic","浪漫",1
58,"satisfy","满足",1
59,"sincere","真诚",2
60,"spend","花费",1
61,"strict","严厉",1
62,"sublimate","升华",2
63,"successful","成功",1
64,"support","支持",1
65,"surprise","惊讶",1
66,"thin","消瘦",1
67,"travel","旅行",1
68,"treat","对待",1
69,"vacation","假期",1
70,"wait","等待",1
71,"warm","温馨",1
72,"worried","担忧",1
73,"worth","值得",1

统计信息
词汇总数,73个
总出现次数,90次
