故事78: 职场成就_梦想实现 - 词汇表

序号,词汇,中文释义,出现次数
1,"ability","能力",3
2,"accept","接受",1
3,"achieve","成就",1
4,"action","行动",1
5,"active","积极",3
6,"adapt","适应",1
7,"admire","敬佩",1
8,"always","总是",2
9,"assess","考核",1
10,"attitude","态度",1
11,"believe","相信",1
12,"brave","勇敢",1
13,"breakthrough","突破",1
14,"busy","繁忙",2
15,"calm","冷静",1
16,"careful","仔细",1
17,"compete","竞争",1
18,"confidence","自信",1
19,"confident","自信",1
20,"consult","请教",1
21,"cooperate","合作",1
22,"determine","坚定",1
23,"difficult","困难",2
24,"difficulty","难题",1
25,"dream","梦想",1
26,"early","早早",1
27,"effort","努力",3
28,"encounter","遇到",1
29,"encourage","鼓励",1
30,"excited","激动",1
31,"experience","经验",2
32,"face","面对",1
33,"fight","斗志",1
34,"finally","终于",1
35,"focus","专注",1
36,"gradually","逐渐",2
37,"growth","成长",1
38,"help","帮助",1
39,"humbly","谦逊",1
40,"inspire","激励",2
41,"learn","学习",1
42,"logical","逻辑",1
43,"magnificent","宏伟",1
44,"nervous","紧张",2
45,"never","从不",1
46,"newcomer","新人",1
47,"observe","观察",1
48,"opportunity","机会",2
49,"organize","整理",1
50,"patient","耐心",1
51,"perfectly","完美",1
52,"performance","表现",1
53,"praise","表扬",1
54,"prepare","准备",2
55,"present","呈现",1
56,"professional","专业",1
57,"promote","晋升",4
58,"proud","自豪",1
59,"prove","证明",1
60,"pursue","追求",1
61,"rapid","迅速",1
62,"recognize","认可",1
63,"rehearse","排练",1
64,"report","汇报",1
65,"respect","尊重",1
66,"responsibility","责任",1
67,"return","回报",1
68,"share","分享",2
69,"shocked","震惊",1
70,"spend","投入",1
71,"strength","实力",1
72,"study","学习",1
73,"successful","成功",1
74,"train","培训",1
75,"undertake","承担",1
76,"unfamiliar","不熟悉",1
77,"wholehearted","全力以赴",1
78,"wisdom","智慧",1
79,"work","工作",1

统计信息
词汇总数,79个
总出现次数,98次
