故事80: 闪婚美满_幸福婚姻 - 词汇表

序号,词汇,中文释义,出现次数
1,"accompany","陪伴",1
2,"active","积极",1
3,"adapt","适应",3
4,"always","总是",1
5,"anxiety","焦虑",1
6,"beautiful","美好",1
7,"blossom","萌芽",1
8,"brilliant","璀璨",1
9,"calm","冷静",1
10,"careful","仔细",2
11,"challenge","挑战",1
12,"cherish","珍惜",1
13,"close","靠近",1
14,"complex","复杂",1
15,"complicate","复杂",1
16,"confused","困惑",2
17,"courage","勇气",1
18,"curious","好奇",1
19,"danger","危险",1
20,"define","定义",1
21,"difficulty","困难",1
22,"discover","发现",1
23,"elegant","优雅",1
24,"encounter","遇到",1
25,"encourage","鼓励",1
26,"expectant","期待",1
27,"final","最终",1
28,"finally","终于",1
29,"guard","守护",1
30,"happily","幸福地",1
31,"happy","开心",1
32,"hope","希望",1
33,"legend","传奇",1
34,"luxurious","豪华",1
35,"maintain","保持",1
36,"manage","经营",1
37,"marriage","婚姻",1
38,"medicine","药品",1
39,"melt","融化",1
40,"modern","现代",1
41,"moved","感动",1
42,"nervous","紧张",2
43,"observe","观察",1
44,"organize","整理",1
45,"patient","耐心",1
46,"polite","礼貌",1
47,"rational","理智",1
48,"rationality","理智",1
49,"real","真实",1
50,"remind","提醒",1
51,"respect","尊重",1
52,"share","分享",1
53,"spacious","宽敞",1
54,"spend","花费",1
55,"strange","异样",1
56,"sublimate","升华",1
57,"successful","成功",1
58,"support","支持",1
59,"surprised","惊讶",1
60,"touched","感动",1
61,"try","尝试",1
62,"uncertainty","不确定性",1
63,"violate","违背",1

统计信息
词汇总数,63个
总出现次数,68次
