故事85: 跨越天堑_桥梁工程 - 词汇表

序号,词汇,中文释义,出现次数
1,"accurate","精确",2
2,"achieve","成就",1
3,"always","总是",2
4,"believe","相信",1
5,"breakthrough","突破",1
6,"busy","忙碌",1
7,"calculate","计算",1
8,"careful","仔细",2
9,"choose","选择",1
10,"clever","巧妙",1
11,"confident","自信",1
12,"continue","继续",1
13,"contribute","贡献",1
14,"design","设计",1
15,"devotion","奉献",1
16,"difficulty","难题",1
17,"early","早早",1
18,"encourage","鼓励",1
19,"excited","激动",1
20,"fascinate","着迷",1
21,"final","最终",1
22,"finally","终于",1
23,"focus","专注",1
24,"humbly","谦逊地",1
25,"innovate","创新",1
26,"inspire","启发",1
27,"intense","紧张",1
28,"magnificent","壮观",1
29,"mark","标记",1
30,"meticulous","细致",1
31,"nervous","紧张",1
32,"never","从不",1
33,"origin","初衷",1
34,"passion","热情",1
35,"patience","耐心",1
36,"patient","耐心",1
37,"perfectly","完美",1
38,"professional","专业",1
39,"proud","自豪",1
40,"relief","欣慰",2
41,"respect","尊重",1
42,"responsibility","责任感",1
43,"review","评审",1
44,"rigor","严谨",1
45,"satisfaction","满足",1
46,"share","分享",1
47,"significance","意义",1
48,"spend","花费",1
49,"stable","稳定",2
50,"successful","成功",1
51,"try","尝试",1
52,"value","价值",1
53,"warm","热烈",1
54,"wide","宽阔",1
55,"wisdom","智慧",1
56,"worried","担忧",1

统计信息
词汇总数,56个
总出现次数,61次
