故事86: 女王归来_逆袭之路 - 词汇表

序号,词汇,中文释义,出现次数
1,"ability","能力",1
2,"achieve","成就",1
3,"always","总是",2
4,"analyze","分析",1
5,"believe","相信",1
6,"breakthrough","突破",1
7,"busy","忙碌",1
8,"careful","仔细",1
9,"choose","选择",1
10,"confident","自信",1
11,"continue","继续",1
12,"courage","勇气",1
13,"create","创造",1
14,"determine","坚定",1
15,"difficult","艰难",1
16,"difficulty","难题",1
17,"effort","努力",1
18,"encourage","鼓励",1
19,"establish","建立",1
20,"excited","激动",1
21,"experience","经历",1
22,"final","最终",1
23,"finally","终于",1
24,"firm","坚定",1
25,"focus","专注",1
26,"gradually","逐渐",1
27,"growth","成长",1
28,"humbly","谦逊地",1
29,"inspire","启发",1
30,"invest","投入",1
31,"lonely","孤独",1
32,"luxurious","豪华",1
33,"mark","标记",1
34,"negotiate","谈判",1
35,"nervous","紧张",1
36,"never","从不",1
37,"organize","整理",1
38,"patience","耐心",1
39,"patient","耐心",1
40,"perfectly","完美",1
41,"persistence","坚持",1
42,"precise","精确",1
43,"prepare","准备",2
44,"prosperous","繁华",1
45,"proud","自豪",1
46,"pursue","追求",1
47,"quiet","安静",1
48,"relief","欣慰",1
49,"respect","尊重",1
50,"satisfaction","满足",1
51,"share","分享",1
52,"sincere","真诚",1
53,"smart","聪明",1
54,"success","成功",1
55,"successful","成功",1
56,"support","支持",1
57,"talent","才华",1
58,"value","价值",1
59,"wisdom","智慧",1
60,"worried","担忧",1

统计信息
词汇总数,60个
总出现次数,62次
