故事87: 总裁的秘密_豪门契约 - 词汇表

序号,词汇,中文释义,出现次数
1,"accidental","偶然",1
2,"always","总是",1
3,"arrive","降临",1
4,"attracted","被吸引",1
5,"benefit","好处",1
6,"blossom","萌芽",1
7,"brilliant","璀璨",1
8,"calm","冷静",1
9,"change","改变",3
10,"complex","复杂",1
11,"complexity","复杂",1
12,"confused","困惑",1
13,"control","掌控",1
14,"courage","勇气",1
15,"curious","好奇",1
16,"different","不同",1
17,"difficulty","难题",1
18,"disturbed","波动",1
19,"encourage","鼓励",1
20,"fail","无法",1
21,"feeling","感觉",1
22,"final","最终",1
23,"finally","终于",1
24,"give","给予",1
25,"gradually","逐渐",1
26,"impress","印象深刻",1
27,"legend","传奇",1
28,"luxurious","豪华",1
29,"nervous","紧张",2
30,"patient","耐心",1
31,"pressure","压力",1
32,"protect","保护",1
33,"realize","意识到",1
34,"regret","后悔",1
35,"respect","尊重",1
36,"review","审视",1
37,"sincere","真诚",1
38,"sincerity","真诚",1
39,"slowly","慢慢",1
40,"solve","解决",1
41,"special","特殊",1
42,"spend","花费",1
43,"stare","注视",1
44,"strength","坚强",1
45,"successful","成功",1
46,"suitable","合适",1
47,"support","支持",1
48,"surprised","惊讶",1
49,"tense","紧张",1
50,"trust","信任",1
51,"try","尝试",1
52,"wonder","疑惑",1

统计信息
词汇总数,52个
总出现次数,55次
