故事88: 职场进阶_升职记 - 词汇表

序号,词汇,中文释义,出现次数
1,"achieve","成就",1
2,"active","积极",1
3,"always","总是",2
4,"ask","请教",1
5,"attitude","心态",1
6,"believe","相信",1
7,"brave","勇敢",1
8,"breakthrough","突破",1
9,"busy","繁忙",2
10,"careful","仔细",2
11,"confident","自信",1
12,"consult","请教",1
13,"continue","继续",1
14,"difficult","困难",1
15,"difficulty","难题",1
16,"diligence","勤奋",1
17,"diligent","勤奋",1
18,"encourage","鼓励",1
19,"excited","激动",1
20,"final","最终",1
21,"finally","终于",1
22,"focus","专注",1
23,"gradually","逐渐",1
24,"help","帮助",1
25,"hope","希望",1
26,"humbly","谦逊",2
27,"inspire","启发",1
28,"learn","学习",2
29,"learning","学习",1
30,"mark","标记",1
31,"meticulous","细致",1
32,"nervous","紧张",1
33,"never","从不",1
34,"passion","热情",1
35,"patience","耐心",1
36,"patient","耐心",1
37,"perfectly","完美",1
38,"positive","积极",1
39,"prepare","准备",1
40,"promote","升职",2
41,"prosperous","繁华",1
42,"proud","自豪",1
43,"relief","欣慰",1
44,"respect","尊重",1
45,"satisfaction","满足",1
46,"share","分享",1
47,"spend","投入",1
48,"successful","成功",1
49,"try","尝试",1
50,"unfamiliar","不熟悉",1
51,"verify","核实",1
52,"worried","担忧",1

统计信息
词汇总数,52个
总出现次数,58次
