故事8: 那年夏天，我们相遇_社团邂逅 - 词汇表

序号,词汇,中文释义,出现次数
1,"ability","能力",1
2,"action","行动",1
3,"active","积极的",1
4,"activity","活动",1
5,"adjust","调整",1
6,"agree","同意",1
7,"anxious","焦虑的",1
8,"application","申请表",1
9,"approach","靠近",1
10,"arrive","降临",1
11,"artistic","艺术的",1
12,"atmosphere","氛围",1
13,"beautiful","美好的",1
14,"beauty","美",1
15,"bond","纽带",1
16,"capture","捕捉",1
17,"challenge","挑战",1
18,"change","变化",1
19,"characteristic","特点",2
20,"chat","聊天",1
21,"club","社团",1
22,"combine","结合",1
23,"comment","评论",1
24,"communication","沟通",2
25,"community","团体",1
26,"compose","构图",1
27,"concern","关心",1
28,"confident","自信的",1
29,"connection","联系",2
30,"contact","接触",1
31,"content","内容",1
32,"cooperate","合作",1
33,"creativity","创造力",2
34,"discuss","讨论",1
35,"dream","梦想",1
36,"emotion","情感",1
37,"encounter","相遇",2
38,"encourage","鼓励",1
39,"enthusiasm","热情",1
40,"environment","环境",1
41,"equipment","设备",1
42,"evaluate","评估",1
43,"experience","经验",1
44,"expose","曝光",1
45,"feel","感受",1
46,"focus","聚焦",1
47,"fragrant","香味",1
48,"frequent","频繁",1
49,"friendship","友谊",1
50,"guide","指导",2
51,"happen","碰巧",1
52,"happiness","幸福",1
53,"happy","开心",1
54,"hope","希望",1
55,"ideal","理想的",1
56,"innocent","纯真的",1
57,"inspire","激励",3
58,"interact","互动",1
59,"interaction","互动",1
60,"interest","兴趣",1
61,"level","水平",1
62,"member","成员",1
63,"memorable","难忘的",1
64,"memory","记忆",1
65,"merit","优点",1
66,"milestone","里程碑",1
67,"moment","瞬间",1
68,"mood","情绪",1
69,"nervous","紧张",2
70,"observe","观察",1
71,"opportunity","机会",1
72,"organization","组织",1
73,"organize","组织",1
74,"organizer","组织者",1
75,"participate","参与",1
76,"passion","热情",1
77,"pattern","图案",1
78,"perception","感知",1
79,"plan","规划",1
80,"potential","潜力",2
81,"practical","实践的",1
82,"practice","实践",1
83,"precious","珍贵的",2
84,"principle","原则",1
85,"private","私人的",1
86,"progress","进步",1
87,"pure","纯粹的",1
88,"pursue","追求",1
89,"quiet","宁静",1
90,"realize","意识到",1
91,"recognize","认可",1
92,"relationship","关系",1
93,"responsible","负责任的",1
94,"reward","回报",1
95,"rhythm","节奏",1
96,"romance","浪漫",1
97,"satisfaction","满足",1
98,"satisfy","满意",1
99,"scene","场景",1
100,"scenery","景色",1
101,"senior","资深的",1
102,"sensibility","感悟",1
103,"shadow","阴影",1
104,"sincere","真诚的",1
105,"smile","微笑",1
106,"solidarity","团结",1
107,"song","歌声",1
108,"special","特别的",1
109,"stage","舞台",1
110,"study","研究",2
111,"style","风格",1
112,"support","支持",1
113,"sway","摇曳",1
114,"sweet","甜蜜",1
115,"technique","技术",1
116,"tender","温柔的",1
117,"theme","主题",1
118,"theory","理论",1
119,"think","思考",1
120,"understand","理解",1
121,"unique","独特的",1
122,"valuable","有价值的",1
123,"voice","声音",1
124,"wander","漫步",2
125,"warm","温暖",1
126,"youth","青春",1

统计信息
词汇总数,126个
总出现次数,139次
