故事90: 心动瞬间_浪漫邂逅 - 词汇表

序号,词汇,中文释义,出现次数
1,"always","总是",1
2,"arrive","降临",1
3,"attract","吸引",1
4,"believe","相信",1
5,"blossom","萌芽",1
6,"careful","认真",1
7,"clumsy","笨拙",1
8,"control","控制",1
9,"cozy","温馨",2
10,"elegant","优雅",1
11,"embarrassed","尴尬",1
12,"encounter","邂逅",1
13,"encourage","鼓励",1
14,"fail","无法",2
15,"fate","缘分",1
16,"feel","感觉",1
17,"feeling","感觉",1
18,"flavor","味道",1
19,"gentle","柔和",1
20,"gently","温柔",1
21,"happy","开心",1
22,"immersed","沉浸",1
23,"legend","传奇",1
24,"love","热爱",1
25,"memorable","难忘",1
26,"moved","感动",1
27,"natural","自然",1
28,"nervous","紧张",2
29,"patient","耐心",1
30,"peaceful","平静",1
31,"proud","自豪",1
32,"read","阅读",1
33,"relaxed","放松",1
34,"respect","尊重",1
35,"share","分享",1
36,"sincere","真诚",2
37,"sincerity","真诚",1
38,"special","特别",1
39,"spend","花费",1
40,"strange","异样",1
41,"successful","成功",1
42,"support","支持",1
43,"surprised","惊讶",1
44,"touched","感动",1
45,"treasure","珍惜",1
46,"try","尝试",2

统计信息
词汇总数,46个
总出现次数,51次
