故事92: 契约娇妻_心动时刻 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极",1
2,"always","总是",1
3,"anniversary","周年纪念",1
4,"applaud","掌声",2
5,"awkward","尴尬",2
6,"bachelor","单身汉",2
7,"backbone","脊梁",2
8,"background","背景",1
9,"baffle","困惑",1
10,"balance","平衡",1
11,"bankrupt","破产",1
12,"banquet","宴会",1
13,"bargain","讨价还价",3
14,"barrier","障碍",2
15,"baseball","棒球",1
16,"beam","光线",1
17,"bearing","举止",1
18,"beautiful","美丽的",1
19,"become","成为",1
20,"beginning","开始",2
21,"behave","表现",1
22,"belief","信念",1
23,"believe","相信",2
24,"belong","属于",1
25,"beloved","心爱的人",3
26,"benefit","有益",1
27,"benevolent","仁慈的",1
28,"bewildered","迷惑",1
29,"bind","绑定",1
30,"biography","传记",1
31,"bitter","苦涩",1
32,"blame","责备",1
33,"bland","平淡",1
34,"blank","空白",1
35,"blaze","闪耀",1
36,"blend","混合",2
37,"bless","祝福",1
38,"blessing","祝福",3
39,"blissful","幸福的",1
40,"block","阻挡",1
41,"bloom","盛开",4
42,"blossom","萌芽",2
43,"blunt","直率",1
44,"blush","脸红",2
45,"board","董事会",1
46,"boast","夸耀",1
47,"bold","勇敢",1
48,"bond","纽带",1
49,"bonus","奖金",2
50,"boom","繁荣",1
51,"boost","鼓励",1
52,"border","边界",1
53,"bored","无聊",1
54,"bother","打扰",4
55,"bounce","弹跳",1
56,"bound","跳跃",1
57,"boundary","界限",1
58,"bracket","括号",1
59,"brass","黄铜",1
60,"brave","勇敢",1
61,"breath","呼吸",1
62,"breathe","呼吸",2
63,"breed","孕育",1
64,"breeze","微风",3
65,"bride","新娘",2
66,"bridegroom","新郎",1
67,"brief","简短",1
68,"briefcase","公文包",2
69,"bright","明亮",1
70,"brilliant","精彩",4
71,"brisk","活泼",1
72,"broad","广阔",2
73,"broadcast","广播",2
74,"browse","浏览",3
75,"bubble","气泡",2
76,"budget","预算",1
77,"build","建造",2
78,"bunch","束",1
79,"burst","爆发",2
80,"business","交易",1
81,"butterfly","蝴蝶",1
82,"careful","仔细",1
83,"close","靠近",1
84,"confused","困惑",1
85,"control","控制",1
86,"create","创造",1
87,"determine","决心",1
88,"devote","奉献",1
89,"encourage","鼓励",1
90,"end","结束",1
91,"firmly","坚定地",1
92,"fulfill","充实",1
93,"gentle","温柔",1
94,"gradually","逐渐",1
95,"happily","幸福地",1
96,"happy","开心",2
97,"inspire","启发",2
98,"legend","传奇",1
99,"maintain","保持",1
100,"moved","感动",1
101,"natural","自然",1
102,"nervous","紧张",2
103,"observe","观察",1
104,"organize","整理",1
105,"patience","耐心",1
106,"patient","耐心",1
107,"promise","承诺",1
108,"propose","求婚",1
109,"real","真实",1
110,"remind","提醒",1
111,"respect","尊重",1
112,"share","分享",1
113,"sincerity","真诚",1
114,"slowly","慢慢",1
115,"spacious","宽敞",1
116,"spend","花费",1
117,"successful","成功",1
118,"support","支持",1
119,"surprised","惊讶",1
120,"sweet","甜蜜",1
121,"touched","感动",1
122,"trust","信任",1
123,"try","尝试",1

统计信息
词汇总数,123个
总出现次数,164次
