故事93: 新人挑战_第一份工作 - 词汇表

序号,词汇,中文释义,出现次数
1,"achieve","成就",3
2,"active","积极",1
3,"always","总是",2
4,"applaud","响起掌声",1
5,"apply","应用",1
6,"brave","勇敢",1
7,"build","建立",1
8,"busy","忙碌",1
9,"cabin","小木屋",1
10,"cabinet","橱柜",1
11,"cable","电缆",1
12,"cafeteria","自助餐厅",1
13,"cage","笼子",1
14,"calamity","灾难",1
15,"calculate","计算",2
16,"calendar","日历",1
17,"calm","平静",4
18,"calorie","卡路里",1
19,"campaign","活动",2
20,"campus","园区",3
21,"cancel","取消",2
22,"cancer","癌症",1
23,"cannon","大炮",3
24,"canoe","独木舟",1
25,"canvas","帆布",2
26,"canyon","峡谷",2
27,"capability","能力",2
28,"capable","能够",2
29,"capacity","容量",1
30,"caption","标题",1
31,"captive","被俘的",1
32,"capture","捕捉",2
33,"carbon","碳",1
34,"career","职业",3
35,"careful","仔细",1
36,"carefully","仔细地",1
37,"cargo","货物",1
38,"carpenter","木匠",1
39,"carpet","地毯",1
40,"carriage","马车",1
41,"carrier","承载器",1
42,"carrot","胡萝卜",1
43,"cart","手推车",1
44,"cartoon","卡通",2
45,"carve","雕刻",2
46,"cascade","倾泻",1
47,"case","案例",2
48,"cash","现金",1
49,"cashier","出纳",1
50,"cassette","磁带",2
51,"cast","投射",1
52,"castle","城堡",2
53,"casual","随意",1
54,"casualty","伤亡",1
55,"catalog","目录",2
56,"catastrophe","灾难",1
57,"catch","抓住",1
58,"category","类别",1
59,"cater","迎合",2
60,"cathedral","大教堂",1
61,"cattle","牛",1
62,"cause","原因",1
63,"caution","谨慎",1
64,"cautious","谨慎的",1
65,"cave","洞穴",1
66,"cease","停止",1
67,"ceiling","天花板",1
68,"celebrate","庆祝",1
69,"celebrity","名人",1
70,"cell","细胞",1
71,"cellar","地下室",1
72,"cement","水泥",1
73,"censor","审查",1
74,"censorship","审查",1
75,"census","人口普查",3
76,"centigrade","摄氏",1
77,"central","中央",1
78,"ceremony","仪式",1
79,"certain","确定的",1
80,"certainty","确定性",1
81,"certificate","证书",2
82,"certify","认证",3
83,"chair","主持",1
84,"chairman","主席",1
85,"challenge","挑战",2
86,"chamber","会议室",2
87,"chance","机会",3
88,"chancellor","大学校长",2
89,"change","改变",1
90,"channel","渠道",2
91,"chaos","混乱",1
92,"chapter","章节",3
93,"character","性格",1
94,"characteristic","特点",2
95,"charity","慈善",1
96,"charm","魅力",2
97,"chart","图表",1
98,"charter","章程",1
99,"chase","追逐",3
100,"chat","聊天",2
101,"check","检查",1
102,"cheer","欢呼",2
103,"cheerful","愉快的",2
104,"cheese","奶酪",1
105,"chemical","化学",2
106,"chemistry","化学",1
107,"cherish","珍惜",2
108,"cherry","樱桃",1
109,"chess","国际象棋",1
110,"chest","胸腔",1
111,"chew","咀嚼",2
112,"chief","首席",1
113,"child","孩子",1
114,"childhood","童年",1
115,"chill","寒冷",1
116,"chip","芯片",1
117,"chocolate","巧克力",1
118,"choice","选择",1
119,"confident","自信",1
120,"continue","继续",1
121,"determine","决心",1
122,"devote","奉献",1
123,"diligence","勤奋",1
124,"efficient","高效",1
125,"encourage","鼓励",1
126,"excited","激动",1
127,"finally","终于",1
128,"firmly","坚定地",1
129,"focus","专注",1
130,"fulfill","充实",1
131,"help","帮助",1
132,"hope","希望",1
133,"humbly","谦逊地",1
134,"inspire","启发",2
135,"learn","学习",1
136,"learning","学习",1
137,"mark","标记",1
138,"meaningful","有意义",1
139,"nervous","紧张",2
140,"never","从不",1
141,"online","在线",1
142,"patience","耐心",1
143,"patient","耐心",1
144,"perfectly","完美",1
145,"positive","积极",1
146,"promise","承诺",1
147,"proud","自豪",2
148,"respect","尊重",1
149,"satisfaction","满足",1
150,"share","分享",1
151,"spend","投入",1
152,"study","学习",1
153,"successful","成功",1
154,"worried","担忧",1

统计信息
词汇总数,154个
总出现次数,207次
