故事94: 宿舍闺蜜_青春友谊 - 词汇表

序号,词汇,中文释义,出现次数
1,"achieve","实现",1
2,"advance","进步",1
3,"arise","起来",1
4,"attitude","态度",1
5,"bond","纽带",21
6,"challenge","挑战",1
7,"character","性格",2
8,"cooperate","合作",1
9,"data","数据",2
10,"debate","辩论",3
11,"decade","十年",1
12,"decline","下降",1
13,"decrease","减少",1
14,"dedicate","奉献",11
15,"defect","缺陷",1
16,"defend","保卫",3
17,"deficit","赤字",1
18,"defy","反抗",3
19,"degrade","降级",2
20,"delay","延迟",1
21,"deliberate","仔细考虑",1
22,"delicate","精致的",5
23,"delight","快乐",6
24,"deliver","递送",3
25,"demand","要求",2
26,"democratic","民主的",1
27,"demonstrate","示范",2
28,"deny","否认",1
29,"depict","描绘",2
30,"depute","委托",1
31,"descend","降临",1
32,"describe","描述",6
33,"desert","遗弃",1
34,"deserve","值得",14
35,"design","设计",2
36,"designate","指定",2
37,"desirable","令人向往的",2
38,"desire","渴望",1
39,"despair","绝望",3
40,"despise","轻视",1
41,"despite","尽管",13
42,"destination","目的地",2
43,"destiny","命运",4
44,"detail","详细",2
45,"detain","留住",1
46,"determination","决心",1
47,"determine","决心",7
48,"devote","奉献",2
49,"distribute","分配",1
50,"durable","持久的",2

统计信息
词汇总数,50个
总出现次数,151次
