故事96: 商业女王_从零开始 - 词汇表

序号,词汇,中文释义,出现次数
1,"ability","能力",2
2,"achieve","成就",2
3,"active","积极",2
4,"always","总是",2
5,"analyze","分析",1
6,"applaud","响起掌声",1
7,"beginning","开始",1
8,"breakthrough","突破",1
9,"build","建立",1
10,"careful","仔细",2
11,"confident","自信",1
12,"continue","继续",1
13,"courage","勇气",1
14,"culture","文化",1
15,"determine","决心",1
16,"determined","坚定",1
17,"devote","奉献",1
18,"dream","梦想",2
19,"encourage","鼓励",1
20,"enterprise","企业",1
21,"every","每个",1
22,"evidence","证据",1
23,"excited","激动",1
24,"execution","执行力",1
25,"fable","寓言",3
26,"fabricate","编造",2
27,"fabulous","极好的",3
28,"facade","表面",1
29,"face","面对",1
30,"faced","面对",1
31,"facet","方面",1
32,"facilitate","促进",1
33,"facility","设施",1
34,"fact","事实",1
35,"faction","派别",1
36,"factor","因素",1
37,"faculty","全体教员",1
38,"fade","消退",1
39,"faint","微弱的",2
40,"fair","公平的",1
41,"fairness","公平",1
42,"faith","信仰",2
43,"faithful","忠诚的",1
44,"fake","假冒的",1
45,"falsehood","谎言",2
46,"falters","摇晃",1
47,"fame","名声",5
48,"familiar","熟悉的",2
49,"family","家庭",1
50,"famine","饥饿",2
51,"fan","粉丝",1
52,"fancy","喜欢",1
53,"fantastic","极好的",2
54,"fantasy","幻想",2
55,"farmer","农民",1
56,"farming","务农",1
57,"fascinate","使着迷",1
58,"fascinating","迷人的",2
59,"fascination","着迷",1
60,"fashion","时尚",2
61,"fasten","固定",2
62,"fatal","致命的",1
63,"fate","命运",6
64,"fateful","命运攸关的",1
65,"father","父亲",1
66,"fatigue","疲劳",1
67,"favor","支持",1
68,"favorable","有利的",2
69,"favorite","最喜欢的",1
70,"fear","害怕",3
71,"fearful","恐惧的",1
72,"fearless","无畏的",3
73,"feasible","可行的",2
74,"feast","宴请",3
75,"feat","功绩",2
76,"feather","羽毛",1
77,"feature","特征",1
78,"federal","联邦的",1
79,"federation","联盟",1
80,"fee","费用",1
81,"feeble","微弱的",1
82,"feed","喂养",1
83,"feedback","反馈",2
84,"feel","感觉",1
85,"fell","倒下",1
86,"fellow","同伴",2
87,"fellowship","友谊",2
88,"female","女性",5
89,"fertile","肥沃的",1
90,"fertilize","施肥",2
91,"fertilizing","施肥",1
92,"fervor","热情",2
93,"festival","节日",2
94,"festive","欢乐的",1
95,"fetch","取来",1
96,"feverish","发烧的",1
97,"few","少数",1
98,"fiber","纤维",1
99,"fiction","小说",1
100,"fictitious","虚构的",1
101,"fierce","激烈的",5
102,"fiercely","激烈地",2
103,"fifteenth","第十五",1
104,"fight","战斗",9
105,"figure","计算",3
106,"file","文件",1
107,"fill","填写",1
108,"filter","渗透",3
109,"final","最终的",2
110,"finally","终于",2
111,"finance","财务",1
112,"financial","财务的",2
113,"find","找到",1
114,"fine","仔细的",2
115,"finite","有限的",1
116,"firm","坚定的",2
117,"firmly","坚定地",6
118,"first","第一",1
119,"fishing","捕鱼",1
120,"fit","适合",1
121,"fix","确定",1
122,"flame","火焰",1
123,"flash","闪光",2
124,"flashing","闪烁的",1
125,"flat","平坦的",1
126,"flatter","奉承",1
127,"flee","逃离",2
128,"fleet","舰队",1
129,"flexibility","灵活性",1
130,"flexible","灵活的",2
131,"float","漂浮",1
132,"flourish","繁荣",3
133,"focus","专注",1
134,"folder","文件夹",1
135,"force","力量",4
136,"forever","永远",1
137,"forum","论坛",3
138,"foster","培养",2
139,"foundation","基金会",2
140,"fulfill","充实",1
141,"fulfillment","满足",1
142,"fund","资金",1
143,"furniture","家具",1
144,"further","进一步",1
145,"future","未来",1
146,"goal","目标",1
147,"hand","手",1
148,"hard","努力",1
149,"help","帮助",1
150,"humbly","谦逊地",1
151,"idea","想法",1
152,"inspire","启发",2
153,"knows","知道",1
154,"lamp","灯",1
155,"legend","传奇",2
156,"male","男性",1
157,"mark","标记",1
158,"miracle","奇迹",1
159,"mission","使命",1
160,"nervous","紧张",1
161,"never","从不",1
162,"patience","耐心",1
163,"patient","耐心",1
164,"persistence","坚持",2
165,"philosophy","理念",1
166,"plan","规划",1
167,"promise","承诺",1
168,"proud","自豪",2
169,"prove","证明",2
170,"research","研究",1
171,"respect","尊重",1
172,"rise","升起",1
173,"road","道路",1
174,"say","说",1
175,"share","分享",2
176,"simple","简陋",2
177,"skill","技巧",1
178,"smoothly","顺利",1
179,"spend","投入",1
180,"spirit","精神",1
181,"strength","实力",1
182,"success","成功",1
183,"successful","成功",1
184,"tall","高的",1
185,"think","思考",1
186,"thorough","全面",1
187,"value","价值",3
188,"voice","声音",1
189,"watch","观看",1
190,"wonderful","精彩",1
191,"wooden","木制的",1
192,"worried","担忧",1
193,"write","书写",1
194,"young","年轻的",1

统计信息
词汇总数,194个
总出现次数,291次
