故事98: 团队协作_共同成长 - 词汇表

序号,词汇,中文释义,出现次数
1,"cooperation","合作",2
2,"coordinate","协调",1
3,"handle","处理",2
4,"happen","发生",63
5,"hardship","困难",9
6,"harmony","和谐",10
7,"harness","利用",5
8,"harsh","严厉",2
9,"harvest","收获",1
10,"hazard","危险",1
11,"heal","治愈",3
12,"healthy","健康",2
13,"help","帮助",5
14,"helpful","有用的",2
15,"hero","英雄",4
16,"heroic","英勇的",1
17,"heroically","英勇地",2
18,"hesitate","犹豫",5
19,"highlight","突出",3
20,"hinder","阻碍",1
21,"honor","荣誉",13
22,"honorable","可敬的",4
23,"huge","巨大",21
24,"humble","谦逊",21
25,"hurdle","障碍",6
26,"hypothesis","假设",1
27,"hypothetical","假设的",1
28,"opportunity","机会",2
29,"organize","组织",1
30,"successfully","成功地",1
31,"teamwork","团队合作",1

统计信息
词汇总数,31个
总出现次数,196次
