故事99: 图书馆邂逅_书缘情缘 - 词汇表

序号,词汇,中文释义,出现次数
1,"classic","经典",3
2,"conversation","交谈",1
3,"devote","奉献",1
4,"discuss","讨论",2
5,"enthusiast","爱好者",1
6,"fate","缘分",4
7,"feeling","感情",4
8,"interpretation","诠释",1
9,"knowledge","知识",1
10,"lack","缺乏",4
11,"language","语言",2
12,"layout","布局",1
13,"learned","有学问的",1
14,"legacy","传承",1
15,"legend","传奇",3
16,"leisure","乐趣",1
17,"library","图书馆",9
18,"lightning","闪电",1
19,"limit","限制",1
20,"literary","文学的",3
21,"literature","文学",5
22,"love","爱情",26
23,"moment","时刻",1
24,"poem","诗歌",1
25,"poetry","诗歌",2
26,"reading","阅读",6
27,"respect","尊重",2
28,"romantic","浪漫的",2
29,"scholar","学者",1
30,"share","分享",5
31,"treasure","珍惜",5
32,"understand","了解",5
33,"understanding","理解",1
34,"wisdom","智慧",1

统计信息
词汇总数,34个
总出现次数,108次
