所有故事词汇汇总（按首次出现的故事顺序排列）

序号,词汇,中文释义,首次出现故事编号,首次出现故事名称,出现总次数
1,"spectacular","壮观的",1,"豪门契约_总裁的替身新娘_契约的开始",1
2,"magnificent","宏伟的",1,"豪门契约_总裁的替身新娘_契约的开始",16
3,"crisis","危机",1,"豪门契约_总裁的替身新娘_契约的开始",14
4,"chaotic","混乱的",1,"豪门契约_总裁的替身新娘_契约的开始",1
5,"attack","攻击",1,"豪门契约_总裁的替身新娘_契约的开始",3
6,"prosperous","繁荣的",1,"豪门契约_总裁的替身新娘_契约的开始",6
7,"bankruptcy","破产",1,"豪门契约_总裁的替身新娘_契约的开始",1
8,"collapse","崩溃",1,"豪门契约_总裁的替身新娘_契约的开始",5
9,"veteran","老手",1,"豪门契约_总裁的替身新娘_契约的开始",1
10,"dedicate","奉献",1,"豪门契约_总裁的替身新娘_契约的开始",15
11,"stroke","中风",1,"豪门契约_总裁的替身新娘_契约的开始",1
12,"hospitalize","住院",1,"豪门契约_总裁的替身新娘_契约的开始",1
13,"condition","状况",1,"豪门契约_总裁的替身新娘_契约的开始",3
14,"treatment","治疗",1,"豪门契约_总裁的替身新娘_契约的开始",1
15,"recover","恢复",1,"豪门契约_总裁的替身新娘_契约的开始",4
16,"resume","恢复",1,"豪门契约_总裁的替身新娘_契约的开始",3
17,"situation","局势",1,"豪门契约_总裁的替身新娘_契约的开始",4
18,"fragile","脆弱的",1,"豪门契约_总裁的替身新娘_契约的开始",3
19,"grasp","抓住",1,"豪门契约_总裁的替身新娘_契约的开始",5
20,"assault","攻击",1,"豪门契约_总裁的替身新娘_契约的开始",1
21,"launch","发起",1,"豪门契约_总裁的替身新娘_契约的开始",3
22,"aggressive","激进的",1,"豪门契约_总裁的替身新娘_契约的开始",3
23,"strategy","策略",1,"豪门契约_总裁的替身新娘_契约的开始",22
24,"acquire","收购",1,"豪门契约_总裁的替身新娘_契约的开始",6
25,"asset","资产",1,"豪门契约_总裁的替身新娘_契约的开始",4
26,"pressure","施压",1,"豪门契约_总裁的替身新娘_契约的开始",21
27,"repay","偿还",1,"豪门契约_总裁的替身新娘_契约的开始",1
28,"loan","贷款",1,"豪门契约_总裁的替身新娘_契约的开始",1
29,"suspend","暂停",1,"豪门契约_总裁的替身新娘_契约的开始",3
30,"payment","付款",1,"豪门契约_总裁的替身新娘_契约的开始",1
31,"turbulence","动荡",1,"豪门契约_总裁的替身新娘_契约的开始",1
32,"eldest","最年长的",1,"豪门契约_总裁的替身新娘_契约的开始",1
33,"obtain","获得",1,"豪门契约_总裁的替身新娘_契约的开始",1
34,"academic","学术的",1,"豪门契约_总裁的替身新娘_契约的开始",5
35,"practical","实践的",1,"豪门契约_总裁的替身新娘_契约的开始",5
36,"urgent","紧急的",1,"豪门契约_总裁的替身新娘_契约的开始",2
37,"abandon","放弃",1,"豪门契约_总裁的替身新娘_契约的开始",4
38,"leisure","悠闲",1,"豪门契约_总裁的替身新娘_契约的开始",2
39,"assume","承担",1,"豪门契约_总裁的替身新娘_契约的开始",1
40,"responsibility","责任",1,"豪门契约_总裁的替身新娘_契约的开始",26
41,"consult","咨询",1,"豪门契约_总裁的替身新娘_契约的开始",9
42,"solution","解决方案",1,"豪门契约_总裁的替身新娘_契约的开始",3
43,"thorough","彻底的",1,"豪门契约_总裁的替身新娘_契约的开始",9
44,"conclude","得出结论",1,"豪门契约_总裁的替身新娘_契约的开始",2
45,"resource","资源",1,"豪门契约_总裁的替身新娘_契约的开始",7
46,"overcome","克服",1,"豪门契约_总裁的替身新娘_契约的开始",8
47,"obstacle","障碍",1,"豪门契约_总裁的替身新娘_契约的开始",6
48,"partner","合作伙伴",1,"豪门契约_总裁的替身新娘_契约的开始",7
49,"capital","资金",1,"豪门契约_总裁的替身新娘_契约的开始",5
50,"support","支持",1,"豪门契约_总裁的替身新娘_契约的开始",47
51,"numerous","众多的",1,"豪门契约_总裁的替身新娘_契约的开始",4
52,"promising","有希望的",1,"豪门契约_总裁的替身新娘_契约的开始",1
53,"candidate","候选者",1,"豪门契约_总裁的替身新娘_契约的开始",1
54,"chief","主要的",1,"豪门契约_总裁的替身新娘_契约的开始",2
55,"prominent","杰出的",1,"豪门契约_总裁的替身新娘_契约的开始",3
56,"accumulate","积累",1,"豪门契约_总裁的替身新娘_契约的开始",7
57,"enormous","巨大的",1,"豪门契约_总裁的替身新娘_契约的开始",8
58,"possess","拥有",1,"豪门契约_总裁的替身新娘_契约的开始",1
59,"extraordinary","非凡的",1,"豪门契约_总裁的替身新娘_契约的开始",8
60,"talent","才能",1,"豪门契约_总裁的替身新娘_契约的开始",9
61,"accept","接受",1,"豪门契约_总裁的替身新娘_契约的开始",9
62,"cooperation","合作",1,"豪门契约_总裁的替身新娘_契约的开始",4
63,"rumor","传言",1,"豪门契约_总裁的替身新娘_契约的开始",7
64,"ruthless","无情的",1,"豪门契约_总裁的替身新娘_契约的开始",9
65,"compromise","妥协",1,"豪门契约_总裁的替身新娘_契约的开始",5
66,"critical","关键的",1,"豪门契约_总裁的替身新娘_契约的开始",12
67,"bold","大胆的",1,"豪门契约_总裁的替身新娘_契约的开始",3
68,"gamble","赌注",1,"豪门契约_总裁的替身新娘_契约的开始",3
69,"alternative","选择",1,"豪门契约_总裁的替身新娘_契约的开始",3
70,"acquaintance","熟人",1,"豪门契约_总裁的替身新娘_契约的开始",2
71,"arrange","安排",1,"豪门契约_总裁的替身新娘_契约的开始",18
72,"appointment","约会",1,"豪门契约_总裁的替身新娘_契约的开始",1
73,"prepare","准备",1,"豪门契约_总裁的替身新娘_契约的开始",47
74,"review","复习",1,"豪门契约_总裁的替身新娘_契约的开始",8
75,"familiarize","熟悉",1,"豪门契约_总裁的替身新娘_契约的开始",1
76,"style","风格",1,"豪门契约_总裁的替身新娘_契约的开始",4
77,"identify","确定",1,"豪门契约_总裁的替身新娘_契约的开始",3
78,"leverage","筹码",1,"豪门契约_总裁的替身新娘_契约的开始",2
79,"determine","决定",1,"豪门契约_总裁的替身新娘_契约的开始",42
80,"destiny","命运",1,"豪门契约_总裁的替身新娘_契约的开始",16
81,"luxury","豪华的",1,"豪门契约_总裁的替身新娘_契约的开始",7
82,"skyscraper","摩天大楼",1,"豪门契约_总裁的替身新娘_契约的开始",1
83,"design","设计",1,"豪门契约_总裁的替身新娘_契约的开始",13
84,"embody","体现",1,"豪门契约_总裁的替身新娘_契约的开始",2
85,"rigorous","严谨的",1,"豪门契约_总裁的替身新娘_契约的开始",2
86,"elegant","优雅的",1,"豪门契约_总裁的替身新娘_契约的开始",41
87,"taste","品味",1,"豪门契约_总裁的替身新娘_契约的开始",1
88,"deliberate","深思熟虑的",1,"豪门契约_总裁的替身新娘_契约的开始",3
89,"conceal","掩盖",1,"豪门契约_总裁的替身新娘_契约的开始",2
90,"anxiety","焦虑",1,"豪门契约_总裁的替身新娘_契约的开始",10
91,"calm","冷静的",1,"豪门契约_总裁的替身新娘_契约的开始",46
92,"confidence","自信",1,"豪门契约_总裁的替身新娘_契约的开始",17
93,"panorama","全景",1,"豪门契约_总裁的替身新娘_契约的开始",1
94,"sharp","锐利的",1,"豪门契约_总裁的替身新娘_契约的开始",10
95,"suspicion","怀疑",1,"豪门契约_总裁的替身新娘_契约的开始",6
96,"curiosity","好奇",1,"豪门契约_总裁的替身新娘_契约的开始",3
97,"curious","好奇的",1,"豪门契约_总裁的替身新娘_契约的开始",12
98,"invest","投资",1,"豪门契约_总裁的替身新娘_契约的开始",6
99,"compose","镇静",1,"豪门契约_总裁的替身新娘_契约的开始",4
100,"presentation","陈述",1,"豪门契约_总裁的替身新娘_契约的开始",3
101,"precise","准确的",1,"豪门契约_总裁的替身新娘_契约的开始",5
102,"logical","逻辑的",1,"豪门契约_总裁的替身新娘_契约的开始",4
103,"demonstrate","展示",1,"豪门契约_总裁的替身新娘_契约的开始",7
104,"potential","潜力",1,"豪门契约_总裁的替身新娘_契约的开始",13
105,"value","价值",1,"豪门契约_总裁的替身新娘_契约的开始",30
106,"innovation","创新",1,"豪门契约_总裁的替身新娘_契约的开始",3
107,"breakthrough","突破",1,"豪门契约_总裁的替身新娘_契约的开始",17
108,"expand","扩张",1,"豪门契约_总裁的替身新娘_契约的开始",8
109,"interrupt","打断",1,"豪门契约_总裁的替身新娘_契约的开始",3
110,"articulate","清晰表达的",1,"豪门契约_总裁的替身新娘_契约的开始",2
111,"ignore","忽略",1,"豪门契约_总裁的替身新娘_契约的开始",9
112,"fundamental","基本的",1,"豪门契约_总裁的替身新娘_契约的开始",2
113,"financial","财政的",1,"豪门契约_总裁的替身新娘_契约的开始",7
114,"precarious","不稳定的",1,"豪门契约_总裁的替身新娘_契约的开始",1
115,"involve","包含",1,"豪门契约_总裁的替身新娘_契约的开始",1
116,"transaction","交易",1,"豪门契约_总裁的替身新娘_契约的开始",2
117,"bear","承担",1,"豪门契约_总裁的替身新娘_契约的开始",1
118,"elaborate","详细说明",1,"豪门契约_总裁的替身新娘_契约的开始",4
119,"inject","注入",1,"豪门契约_总裁的替身新娘_契约的开始",1
120,"share","股份",1,"豪门契约_总裁的替身新娘_契约的开始",75
121,"obey","服从",1,"豪门契约_总裁的替身新娘_契约的开始",1
122,"redeem","赎回",1,"豪门契约_总裁的替身新娘_契约的开始",1
123,"contain","包含",1,"豪门契约_总裁的替身新娘_契约的开始",1
124,"reliable","可靠的",1,"豪门契约_总裁的替身新娘_契约的开始",6
125,"assist","协助",1,"豪门契约_总裁的替身新娘_契约的开始",5
126,"background","背景",1,"豪门契约_总裁的替身新娘_契约的开始",7
127,"formal","正式的",1,"豪门契约_总裁的替身新娘_契约的开始",7
128,"draft","草案",1,"豪门契约_总裁的替身新娘_契约的开始",1
129,"scan","浏览",1,"豪门契约_总裁的替身新娘_契约的开始",1
130,"clause","条款",1,"豪门契约_总裁的替身新娘_契约的开始",1
131,"complicated","复杂的",1,"豪门契约_总裁的替身新娘_契约的开始",2
